replicate,m,h,gamma_tilde,gamma_se,target,F_plus,F_plus_se,F_minus,F_minus_se,derivative,derivative_se,discrepancy,combined_se
0,1,0.1,15.869365744274331,0.04030552898283017,-14.869365744274331,-1.1907475410963473,0.002176809347913501,1.1915280883332255,0.0021751356460882596,-11.911378147147863,0.015386450220930907,2.9579875971264684,0.04314253721081953
0,2,0.1,13.251573387311607,0.033489184579345375,-12.251573387311607,-0.974585074687005,0.0017956415293414471,0.974987432912598,0.0017959725915707892,-9.747862537998015,0.012698273555457436,2.503710849313592,0.035815801471957794
0,5,0.1,10.167944132262768,0.025038844124546586,-9.167944132262768,-0.7232420889017239,0.0013230443264906026,0.724301302824951,0.001323588618264698,-7.237716958633374,0.00935726071061775,1.9302271736293939,0.026730171026385367
0,10,0.1,7.080414333732028,0.016470736930857145,-6.080414333732028,-0.47886293570658206,0.0008632481143422932,0.4786404168406834,0.0008633981682538804,-4.7875167627363275,0.006104616498723897,1.2928975709957005,0.017565634564170846
0,20,0.1,4.250750664869493,0.009428348015033913,-3.250750664869493,-0.2565671039329622,0.0005172081870240308,0.25648497014704386,0.0005180432808997335,-2.56526037040003,0.0036601678568408754,0.6854902944694627,0.010113880315331255
0,50,0.1,2.3594373687639782,0.004671126238385583,-1.3594373687639782,-0.10886726779355091,0.0003197928371291288,0.10876840542458131,0.00032108316428313473,-1.088178366090661,0.002265843425002972,0.27125900267331726,0.0051916728288253534
0,75,0.1,1.962055643644474,0.003630343872850507,-0.962055643644474,-0.07848879482030044,0.0002881868546568884,0.07828695552479516,0.00028975199045063897,-0.783878751725478,0.0020433298752718424,0.178176891918996,0.004165884493636574
0,100,0.1,1.7757972416877772,0.0031197214692579166,-0.7757972416877772,-0.06450495234576467,0.0002757697215033208,0.064343082453497,0.00027753181595616567,-0.6442401739963083,0.001956226266092103,0.1315570676914689,0.0036823203622033517
0,1,0.05,15.869365744274331,0.04030552898283017,-14.869365744274331,-0.7001005075264339,0.002637572084469648,0.6984825304627356,0.0026379343137861405,-13.985830379891695,0.03730346357193112,0.8835353643826362,0.05491888619635467
0,2,0.05,13.251573387311607,0.033489184579345375,-12.251573387311607,-0.5756350500738842,0.0021954742946454233,0.5728413326346706,0.0021968711805890394,-11.484763827085546,0.031058574279176913,0.7668095602260614,0.04567450623755678
0,5,0.05,10.167944132262768,0.025038844124546586,-9.167944132262768,-0.4300996637867948,0.0016427061081344912,0.4284085254494231,0.0016425302700704097,-8.585081892362178,0.023230129241568892,0.5828622399005905,0.03415527220903583
0,10,0.05,7.080414333732028,0.016470736930857145,-6.080414333732028,-0.28543485306768696,0.001076127393834914,0.283982294949146,0.0010771160253109713,-5.694171480168329,0.015225731837069866,0.38624285356369903,0.022430070998992944
0,20,0.05,4.250750664869493,0.009428348015033913,-3.250750664869493,-0.15282687509078896,0.0006210330049637136,0.15186315588756627,0.000622117791674397,-3.046900309783552,0.008790406930126093,0.20385035508594074,0.012890500389426423
0,50,0.05,2.3594373687639782,0.004671126238385583,-1.3594373687639782,-0.06406879746753481,0.0003474393921794275,0.06322011551064625,0.0003488927658085098,-1.2728891297818106,0.004923822633600054,0.08654823898216768,0.006787005942393628
0,75,0.05,1.962055643644474,0.003630343872850507,-0.962055643644474,-0.04555964031288959,0.0002996144320081978,0.04498733282951075,0.00030105774111672525,-0.9054697314240034,0.0042474059301401855,0.0565859122204706,0.005587472932420633
0,100,0.05,1.7757972416877772,0.0031197214692579166,-0.7757972416877772,-0.03690574561071414,0.00027994029279619084,0.03651010360438556,0.00028143683989743636,-0.7341584921509969,0.003969549878541297,0.04163874953678026,0.005048761064258835
0,1,0.025,15.869365744274331,0.04030552898283017,-14.869365744274331,-0.36778225774279755,0.002790195358781697,0.36909670126068267,0.002790730325686341,-14.737579180069604,0.07892620829831447,0.13178656420472734,0.08862213054838326
0,2,0.025,13.251573387311607,0.033489184579345375,-12.251573387311607,-0.3019752110118644,0.002325501033030369,0.3046288666904654,0.0023259104226508996,-12.132081554046596,0.06578089190280532,0.11949183326501078,0.07381497966753106
