stage-1 projected CPU 4.583 h against a 60.0 h cap

=== STAGE 1: 48 jobs on 5 workers ===
  reduced/sr@20/t1p5                 route_b  N=  38,000,000 m1=   2.8007 relSE=0.02127 cpu=   608.3s
  frozen/sr@520.886/skewnormal4      route_b  N=     960,000 m1=   8.0931 relSE=0.00381 cpu=   677.1s
  reduced/cusum@2/t1p5               route_b  N=  65,000,000 m1=   2.4195 relSE=0.01471 cpu=   924.4s
  frozen/sr@520.886/t3               route_b  N=     960,000 m1=  10.9935 relSE=0.00771 cpu=   481.3s
  frozen/sr@520.886/laplace          route_b  N=     960,000 m1=  15.9666 relSE=0.00361 cpu=   446.2s
  frozen/cusum@5/skewnormal4         route_b  N=     960,000 m1=   5.3752 relSE=0.00543 cpu=   498.3s
  frozen/cusum@5/t3                  route_b  N=     960,000 m1=   7.9002 relSE=0.00864 cpu=   354.6s
  frozen/sr@520.886/logistic         route_b  N=     960,000 m1=  16.8523 relSE=0.00242 cpu=   446.1s
  frozen/cusum@5/laplace             route_b  N=     960,000 m1=  13.0458 relSE=0.00374 cpu=   332.4s
  frozen/cusum@5/t1p5                route_b  N=  54,000,000 m1=   3.7114 relSE=0.03569 cpu=  1872.0s
  frozen/cusum@5/logistic            route_b  N=     960,000 m1=  14.6010 relSE=0.00332 cpu=   342.1s
  frozen/sr@520.886/gaussian         route_b  N=     960,000 m1=  17.2843 relSE=0.00212 cpu=   419.4s
  frozen/sr@520.886/skewnormal4      route_a  N=   3,200,000 m1=   8.0716 relSE=0.00411 cpu=   319.2s
  frozen/sr@520.886/logistic         route_a  N=   3,200,000 m1=  16.8694 relSE=0.00183 cpu=   233.2s
  frozen/sr@520.886/gaussian         route_a  N=   3,200,000 m1=  17.2943 relSE=0.00123 cpu=   258.9s
  frozen/cusum@5/gaussian            route_b  N=     960,000 m1=  15.8748 relSE=0.00237 cpu=   312.8s
  reduced/sr@20/t3                   route_b  N=   3,200,000 m1=   6.2672 relSE=0.00322 cpu=   155.4s
  frozen/cusum@5/skewnormal4         route_a  N=   3,200,000 m1=   5.3716 relSE=0.00578 cpu=   216.3s
  frozen/sr@520.886/laplace          route_a  N=   3,200,000 m1=  16.1327 relSE=0.00287 cpu=   195.2s
  frozen/sr@520.886/t3               route_a  N=   3,200,000 m1=  10.9273 relSE=0.00871 cpu=   170.5s
  reduced/cusum@2/t3                 route_b  N=   3,200,000 m1=   4.8059 relSE=0.00357 cpu=   150.3s
  frozen/cusum@5/gaussian            route_a  N=   3,200,000 m1=  15.8925 relSE=0.00147 cpu=   154.0s
  frozen/cusum@5/logistic            route_a  N=   3,200,000 m1=  14.5600 relSE=0.00205 cpu=   142.7s
  frozen/cusum@5/laplace             route_a  N=   3,200,000 m1=  13.0666 relSE=0.00351 cpu=   118.3s
  frozen/cusum@5/t1p5                route_a  N=  44,500,000 m1=   3.4622 relSE=0.01372 cpu=   106.6s
  frozen/cusum@5/t3                  route_a  N=   3,200,000 m1=   7.8420 relSE=0.01220 cpu=   102.6s
  reduced/cusum@2/skewnormal4        route_b  N=   3,200,000 m1=   6.1375 relSE=0.00233 cpu=    84.8s
  reduced/sr@20/laplace              route_b  N=   3,200,000 m1=   6.0752 relSE=0.00261 cpu=    88.9s
  reduced/sr@20/gaussian             route_b  N=   3,200,000 m1=   6.4335 relSE=0.00206 cpu=    54.9s
  reduced/sr@20/logistic             route_b  N=   3,200,000 m1=   6.2881 relSE=0.00234 cpu=    71.9s
  reduced/cusum@2/laplace            route_b  N=   3,200,000 m1=   4.9945 relSE=0.00286 cpu=    77.6s
  reduced/sr@20/skewnormal4          route_b  N=   3,200,000 m1=   6.7622 relSE=0.00208 cpu=    91.0s
  reduced/cusum@2/gaussian           route_b  N=   3,200,000 m1=   6.2065 relSE=0.00213 cpu=    45.4s
  frozen/sr@520.886/t1p5             route_a  N=  14,750,000 m1=   4.0404 relSE=0.01249 cpu=    51.3s
  reduced/sr@20/t3                   route_a  N=   6,000,000 m1=   6.2728 relSE=0.00151 cpu=    35.2s
  reduced/cusum@2/logistic           route_b  N=   3,200,000 m1=   5.6224 relSE=0.00243 cpu=    64.6s
  reduced/sr@20/laplace              route_a  N=   6,000,000 m1=   6.0894 relSE=0.00097 cpu=    25.8s
  reduced/cusum@2/t3                 route_a  N=   6,000,000 m1=   4.8006 relSE=0.00227 cpu=    26.7s
  reduced/sr@20/skewnormal4          route_a  N=   6,000,000 m1=   6.7572 relSE=0.00051 cpu=    30.7s
  reduced/sr@20/t1p5                 route_a  N=  16,250,000 m1=   2.7842 relSE=0.00748 cpu=    27.6s
  reduced/sr@20/logistic             route_a  N=   6,000,000 m1=   6.2732 relSE=0.00044 cpu=    24.5s
  reduced/cusum@2/skewnormal4        route_a  N=   6,000,000 m1=   6.1614 relSE=0.00060 cpu=    25.0s
  reduced/cusum@2/t1p5               route_a  N=  23,250,000 m1=   2.4768 relSE=0.00891 cpu=    29.3s
  reduced/sr@20/gaussian             route_a  N=   6,000,000 m1=   6.4264 relSE=0.00033 cpu=    21.5s
  reduced/cusum@2/laplace            route_a  N=   6,000,000 m1=   4.9860 relSE=0.00125 cpu=    18.1s
  reduced/cusum@2/gaussian           route_a  N=   6,000,000 m1=   6.1931 relSE=0.00041 cpu=    13.8s
  reduced/cusum@2/logistic           route_a  N=   6,000,000 m1=   5.6160 relSE=0.00059 cpu=    16.3s
  frozen/sr@520.886/t1p5             route_b  N= 446,000,000 m1=   4.0048 relSE=0.01078 cpu=  9593.1s

stage-1 job CPU 5.7101 h, wall 3.0826 h -> /Users/suzhe/ReBaseGuard-p4x/level4/closure_proofs/p4x_generalization_boundary/production/results/c2_stage1.json
