K1 worst |error| 3.733e-12 (tol 1e-07)  fired=False
K2 residuals 102,887 mismatches 0  fired=False
  frozen/cusum@5/gaussian          relsd= 1.811/ 2.220 cpu=   93.3s proj= 0.259h ok
  frozen/cusum@5/laplace           relsd= 2.279/ 2.220 cpu=   81.8s proj= 0.227h ** K3
  frozen/cusum@5/logistic          relsd= 1.877/ 2.220 cpu=   94.4s proj= 0.262h ok
  frozen/cusum@5/skewnormal4       relsd=13.747/ 2.220 cpu=  227.1s proj= 0.631h ** K3
  frozen/cusum@5/t1p5              relsd= 3.292/ 5.963 cpu=   48.3s proj= 0.134h ok
  frozen/cusum@5/t3                relsd= 2.326/ 4.596 cpu=  425.0s proj= 1.181h ok
  frozen/sr@520.886/gaussian       relsd= 1.751/ 2.220 cpu=  114.5s proj= 0.318h ok
  frozen/sr@520.886/laplace        relsd= 2.055/ 2.220 cpu=   97.6s proj= 0.271h ok
  frozen/sr@520.886/logistic       relsd= 1.811/ 2.220 cpu=  108.2s proj= 0.301h ok
  frozen/sr@520.886/skewnormal4    relsd= 8.395/ 2.220 cpu=  251.5s proj= 0.699h ** K3
  frozen/sr@520.886/t1p5           relsd= 3.404/ 5.963 cpu=   58.5s proj= 0.163h ok
  frozen/sr@520.886/t3             relsd= 2.097/ 4.596 cpu=  539.9s proj= 1.500h ok
  reduced/cusum@2/gaussian         relsd= 2.293/ 2.220 cpu=    4.0s proj= 0.011h ** K3
  reduced/cusum@2/laplace          relsd= 2.009/ 2.220 cpu=    5.6s proj= 0.015h ok
  reduced/cusum@2/logistic         relsd= 2.155/ 2.220 cpu=    4.9s proj= 0.013h ok
  reduced/cusum@2/skewnormal4      relsd= 3.201/ 2.220 cpu=   11.8s proj= 0.033h ** K3
  reduced/cusum@2/t1p5             relsd= 2.404/ 5.963 cpu=   18.9s proj= 0.052h ok
  reduced/cusum@2/t3               relsd= 1.758/ 4.596 cpu=   55.6s proj= 0.155h ok
  reduced/sr@20/gaussian           relsd= 2.580/ 2.220 cpu=    4.9s proj= 0.014h ** K3
  reduced/sr@20/laplace            relsd= 2.199/ 2.220 cpu=    6.4s proj= 0.018h ok
  reduced/sr@20/logistic           relsd= 2.419/ 2.220 cpu=    5.7s proj= 0.016h ** K3
  reduced/sr@20/skewnormal4        relsd= 2.658/ 2.220 cpu=   12.0s proj= 0.033h ** K3
  reduced/sr@20/t1p5               relsd= 2.637/ 5.963 cpu=   24.3s proj= 0.067h ok
  reduced/sr@20/t3                 relsd= 1.982/ 4.596 cpu=   60.7s proj= 0.169h ok

STAGE-0 VERDICT = STAGE0_PASS
