  10/30 blocks, 596 CPU-s
  20/30 blocks, 1210 CPU-s
  30/30 blocks, 1825 CPU-s

 m        h        D(h)        se |   adj diff       se      p
 1  0.10000    6.852152  0.013447 |   1.001212 0.026597   37.6
 1  0.05000    5.850940  0.026385 |   0.325277 0.032040   10.2
 1  0.02500    5.525663  0.043752 |   0.096776 0.038920    2.5
 1  0.01250    5.428887  0.061541 |  -0.003313 0.053221    0.1
 1  0.00625    5.432200  0.076571 | 
 2  0.10000    5.544935  0.010663 |   0.852866 0.021372   39.9
 2  0.05000    4.692069  0.021081 |   0.278769 0.025612   10.9
 2  0.02500    4.413300  0.034658 |   0.078167 0.031654    2.5
 2  0.01250    4.335133  0.049879 |  -0.002804 0.044079    0.1
 2  0.00625    4.337936  0.063185 | 
 3  0.10000    4.947700  0.009537 |   0.744994 0.018416   40.5
 3  0.05000    4.202706  0.018114 |   0.245296 0.022046   11.1
 3  0.02500    3.957410  0.029745 |   0.070489 0.028148    2.5
 3  0.01250    3.886921  0.043807 |  -0.001160 0.037734    0.0
 3  0.00625    3.888080  0.055150 | 
 5  0.10000    4.332244  0.007711 |   0.573554 0.014513   39.5
 5  0.05000    3.758689  0.014332 |   0.193752 0.017571   11.0
 5  0.02500    3.564938  0.024037 |   0.056914 0.022293    2.6
 5  0.01250    3.508023  0.034608 |   0.002276 0.030005    0.1
 5  0.00625    3.505747  0.043480 | 

total 1824.7 CPU-s -> results/ladder_study.json
