route,replication,h,estimate,se,role
A_raw_score,,,-16.291320922042853,0.027568571620771132,theorem prediction
B_log_conditional_map,0,0.1,-12.611762527531988,0.009956857279247628,diagnostic
B_log_conditional_map,1,0.1,-12.611785524709381,0.011789789938156332,diagnostic
B_log_conditional_map_pooled,pooled,0.1,-12.611774026120685,0.007685425399047931,diagnostic
B_log_conditional_map,0,0.05,-15.145266323036566,0.02216330365506109,diagnostic
B_log_conditional_map,1,0.05,-15.143291988088714,0.0237515557222258,diagnostic
B_log_conditional_map_pooled,pooled,0.05,-15.14427915556264,0.016179225034678987,diagnostic
B_log_conditional_map,0,0.025,-15.99443737386272,0.03592620670906867,diagnostic
B_log_conditional_map,1,0.025,-15.972462901690704,0.04014265687104164,diagnostic
B_log_conditional_map_pooled,pooled,0.025,-15.983450137776714,0.02684714153256417,diagnostic
B_log_conditional_map,0,0.0125,-16.224012956530906,0.05113752975138779,primary
B_log_conditional_map,1,0.0125,-16.166006213285424,0.05923810405503131,primary
B_log_conditional_map_pooled,pooled,0.0125,-16.195009584908167,0.03905916097090782,primary
