cell_id,m,rho,policy,n_replicates,n_cycles,burn_in,master_seed,mean_reference_error,mean_reference_error_ci_low,mean_reference_error_ci_high,mean_reference_error_replicate_sd,sd_reference_error,sd_reference_error_ci_low,sd_reference_error_ci_high,sd_reference_error_replicate_sd,rmse_reference_error,rmse_reference_error_ci_low,rmse_reference_error_ci_high,rmse_reference_error_replicate_sd,cycle_arl,cycle_arl_ci_low,cycle_arl_ci_high,cycle_arl_replicate_sd,median_tau,median_tau_ci_low,median_tau_ci_high,median_tau_replicate_sd,alternation_rate,alternation_rate_ci_low,alternation_rate_ci_high,alternation_rate_replicate_sd,alarm_up_proportion,alarm_up_proportion_ci_low,alarm_up_proportion_ci_high,alarm_up_proportion_replicate_sd,acf_e_lag1,acf_e_lag1_ci_low,acf_e_lag1_ci_high,acf_e_lag1_replicate_sd,acf_e_lag2,acf_e_lag2_ci_low,acf_e_lag2_ci_high,acf_e_lag2_replicate_sd,acf_e_lag3,acf_e_lag3_ci_low,acf_e_lag3_ci_high,acf_e_lag3_replicate_sd,acf_direction_lag1,acf_direction_lag1_ci_low,acf_direction_lag1_ci_high,acf_direction_lag1_replicate_sd,fraction_abs_e_gt_1,fraction_abs_e_gt_1_ci_low,fraction_abs_e_gt_1_ci_high,fraction_abs_e_gt_1_replicate_sd
gate4.1-full-mgrid-2aefb09055e1,5,0.0,fresh,100,2000,500,20260820,-0.0006003052637120735,-0.002394277190476604,0.0011969718121827987,0.009180548949970177,0.44690289295165386,0.44550801067716816,0.4482643780205642,0.007126863874481776,0.44688502099263316,0.44549586331834506,0.44825862716319825,0.007118888547788748,162.12829000000002,161.01855012500002,163.25194137499997,5.72660113827292,59.535,58.99,60.075,2.7489713411280654,0.49991995997999006,0.4979338419209604,0.5019611055527764,0.010367854890809507,0.5000199999999999,0.49778,0.502265125,0.01132908119875927,0.0009641980606398939,-0.0035941244917160517,0.005519016869980694,0.02336791723430974,0.0011018165324720203,-0.002598114842617202,0.004797477677438519,0.018519431806997333,-0.0018856375454924593,-0.005986232854428112,0.0022698545517114274,0.02100538008157082,-0.00034707565041348476,-0.004387369394423427,0.0036902270478647377,0.020668351180632354,0.025375000000000005,0.024689999999999993,0.026055000000000002,0.0035229227707238844
gate4.1-full-mgrid-bd45058dd860,5,0.05,partial_reuse,100,2000,500,20260820,-0.0005468004443924732,-0.0021427445831759323,0.0010605655393931253,0.008226254538681223,0.42709455188820583,0.42577717954066246,0.4283682036961822,0.006670084673403361,0.4270667013909513,0.4257709285913443,0.42836842263221175,0.006659131046169338,168.49943,167.386053875,169.6085405,5.82409548923932,64.145,63.569875,64.72512499999999,2.9493151062508725,0.5394847423711856,0.5373586793396699,0.5416358179089544,0.01100165603303838,0.5006200000000001,0.4985899999999999,0.502645125,0.010348991069742795,-0.05856192105687466,-0.06318284999589764,-0.05393769876459501,0.023655415752967538,0.004538385759247388,0.000879450419333545,0.008240117998840989,0.018404458629060264,-0.0015655207468319,-0.00570466556030564,0.002607473807532334,0.021202521245537724,-0.07938589708497454,-0.08379024227982411,-0.075145651958419,0.021821811427758114,0.019484999999999995,0.0189,0.020055,0.003001224497575695
gate4.1-full-mgrid-fff0d2932b4d,5,0.1,partial_reuse,100,2000,500,20260820,-0.00064519884362565,-0.002113822402832399,0.0008237581734172622,0.007543048694859676,0.4133532602229251,0.41214108493603185,0.41452586485558446,0.006154558511375641,0.4133187074560396,0.41210832227583477,0.4145327541521615,0.006143016804787043,171.85075,170.75875937499998,172.91288774999998,5.5619611878410735,67.155,66.505,67.785,3.2401326509819928,0.5839269634817409,0.5819409704852427,0.5859779889944973,0.01018946952652098,0.50005,0.4982,0.501875,0.009271303614221179,-0.12393630402517795,-0.1283426518371008,-0.11946664909248504,0.02256985184493843,0.017393848915914986,0.013798967950417488,0.021039684771609016,0.018104662113345518,-0.00277325721743194,-0.007097527052166958,0.001442136327432791,0.02163268845451273,-0.1681662613787616,-0.1721835150219785,-0.16415260003189072,0.020292086162341495,0.015715,0.015205000000000007,0.016225,0.0026640659666658925
gate4.1-full-mgrid-403bcc249a9b,5,0.25,partial_reuse,100,2000,500,20260820,-0.00039451421439618125,-0.0015432230277061677,0.0007511248221499693,0.005903502746005065,0.4118145545619781,0.41077270805888855,0.4128450621441261,0.005348620356058204,0.4117535616207009,0.4107148987258192,0.4128134828035135,0.005356220045974431,169.472725,168.226309125,170.73123312499996,6.4799602191130665,65.85,65.194875,66.465125,3.2740948321172634,0.7273786893446725,0.725322536268134,0.7294897448724363,0.010711120787172517,0.5002599999999999,0.49893499999999996,0.50153,0.00662962436280662,-0.31688752330956865,-0.32072013993158505,-0.31305241855227667,0.01977446159690509,0.12372090938785335,0.11932321796182584,0.12816676386080372,0.022481709251771603,-0.04616024596655418,-0.050800160157962036,-0.04176267674920389,0.02319134610514963,-0.45478426599500366,-0.4589171311525854,-0.4505938892491251,0.021399043397290443,0.012434999999999998,0.01195,0.012920000000000003,0.0025580680446798364
gate4.1-full-mgrid-1861f95ad871,5,0.5,partial_reuse,100,2000,500,20260820,-0.0006271436301250015,-0.0019172716718329984,0.0006494634660561764,0.006500069625723807,0.4912569669075466,0.490451188895444,0.4920240465355934,0.004025479827319257,0.4911771474911838,0.4903866433839415,0.49196064824999647,0.004020998019168711,124.08284000000002,123.10160300000004,125.06291137499998,5.147965119649833,41.22,40.93,41.51,1.5097661869951715,0.8958229114557278,0.8946872186093047,0.8969234617308655,0.005788794622353207,0.499925,0.49927000000000005,0.5005799999999999,0.0033705310854492553,-0.5264484672066474,-0.5291784681236741,-0.5237177571447645,0.014138575371764358,0.4369768938748316,0.4326020946434713,0.4412424331990647,0.021888670263982137,-0.33391977799829137,-0.33867067508144266,-0.3293996373677523,0.02356752057086808,-0.7913299406402831,-0.7935628856471315,-0.7890613938996922,0.01155601230119143,0.018805,0.018235,0.01937,0.0028927766186929407
gate4.1-full-mgrid-37cacfa1f03d,5,1.0,full_reuse,100,2000,500,20260820,0.0005282031344524646,-0.001697680797378966,0.0027706511498973383,0.011407472412074697,0.7481432915982702,0.7469894611460036,0.74929996116444,0.005945929556394185,0.7480425494428412,0.7468749555222618,0.7491957415428574,0.005942566234751895,81.26005,80.490595375,82.04262450000002,4.0158587383728594,19.205,19.08,19.33,0.6517071598672384,0.9205202601300649,0.9192446223111556,0.9217910205102552,0.006545011069123254,0.499835,0.4994048749999999,0.5002749999999999,0.002221400731997981,-0.48389183627162274,-0.48697522752728856,-0.48075312436056844,0.015716634959940457,0.5093387421257031,0.504062986916246,0.5146072525307112,0.02680613981318022,-0.39868976060860967,-0.40351538432383105,-0.39380456483048787,0.025160387300173052,-0.8406556761362514,-0.843250508471416,-0.8381430109148209,0.013079127275966456,0.19039,0.18869,0.19205012500000004,0.008439499482502002
gate4.1-full-mgrid-d3950c12a712,10,0.0,fresh,100,2000,500,20260820,-0.00042447992275278576,-0.0016930096374262805,0.0008463868852836074,0.0064916284175389515,0.3160080661380002,0.3150217354227544,0.31697078146271085,0.005039453774239495,0.3159954287545836,0.3150131459429572,0.31696671499246976,0.0050338143666526745,210.71678500000002,209.444592,211.977381875,6.590094603272076,99.28,98.44,100.110125,4.2878263194134325,0.49991495747873943,0.49757378689344667,0.5022711355677839,0.012016116384939652,0.5006150000000001,0.4985550000000001,0.5026902500000001,0.010695476009542867,0.0009641980606398939,-0.00359412449171605,0.005519016869980694,0.02336791723430974,0.00110181653247202,-0.002598114842617202,0.004797477677438518,0.018519431806997333,-0.0018856375454924595,-0.00598623285442811,0.002269854551711428,0.021005380081570824,-0.00028432552601828463,-0.0049019755140698226,0.004379824322395082,0.023974617213175727,0.0015850000000000003,0.0014100000000000002,0.0017601249999999987,0.0009130230616534891
gate4.1-full-mgrid-545fa523a4c0,10,0.05,partial_reuse,100,2000,500,20260820,-0.0004074676434124643,-0.0015405251219449219,0.0007190718188740253,0.005823843869955602,0.30188025726106144,0.3009626630245939,0.30277207858859095,0.004668872302065999,0.301860728518517,0.30094770726526887,0.30276427104887804,0.004664292451830057,217.85835,216.65098812499997,219.08130687500002,6.264080482433478,105.61,104.765,106.45,4.3377483336473786,0.5375137568784392,0.5353076538269135,0.5397748874437218,0.011598093378649147,0.5001399999999999,0.49820499999999995,0.5020501249999999,0.009901300802205613,-0.05822099127183169,-0.06274220907109405,-0.05367166180942749,0.023304622040053687,0.004852660779374243,0.001141893681601174,0.008625237076977278,0.018662057841929224,-0.0017416357251397291,-0.005955963967275045,0.002440271148258575,0.021416334910368297,-0.07540954506473077,-0.0800543856109731,-0.07096076530454394,0.023180051625821808,0.0009200000000000001,0.0007900000000000001,0.0010550000000000002,0.0006916529754030111
gate4.1-full-mgrid-6a54c992e599,10,0.1,partial_reuse,100,2000,500,20260820,-0.0004836850563992038,-0.001520341397154513,0.0005489636266491949,0.005287843066268078,0.2919903826416601,0.2911585096907798,0.29280474900791387,0.004262154681602022,0.2919651857877675,0.29113652516479294,0.29280791657471655,0.004261121490989484,222.88023500000003,221.61753600000003,224.15038262499996,6.508969625302154,110.13,109.24,111.005,4.511836285445946,0.5800650325162582,0.5780740370185093,0.5820960480240119,0.01047123999008526,0.49951499999999993,0.4978600000000001,0.501190125,0.008690368231553825,-0.12251019227471568,-0.1270817779238524,-0.11790518574834338,0.023549653763586895,0.016197782294991105,0.012172486227696224,0.020291909318859856,0.020107275098053348,-0.0026435257499075188,-0.006927510156338654,0.0015928318944285012,0.021705244023389213,-0.1603951583338312,-0.16435608474369245,-0.15625431421277322,0.020883518340752395,0.0006100000000000001,0.0005,0.0007250000000000001,0.0005755103137321878
gate4.1-full-mgrid-7a0d62885fc4,10,0.25,partial_reuse,100,2000,500,20260820,-0.0004166441177477971,-0.0012736713003908447,0.00044390046725494237,0.004442261502328325,0.2892357859205487,0.2884741621682279,0.28997262113181516,0.003848807035477351,0.2891975165857249,0.2884475335575454,0.28993017182278835,0.003850144999344489,219.82322499999992,218.54939575000003,221.060869375,6.412881229487265,108.36,107.555,109.16,4.0676600873055495,0.721775887943972,0.719974987493747,0.7236118059029515,0.009404641875869318,0.49976,0.49860987499999987,0.50092,0.005906459398511312,-0.3181841806369007,-0.3218320454033689,-0.31464098528735507,0.01841754880576171,0.12025357918970224,0.11586717873024398,0.12463524252043798,0.022334718865177853,-0.04583910928230231,-0.050687485455463296,-0.040950620662797074,0.02490187880325179,-0.44353005171741217,-0.447221465004211,-0.4398991233076693,0.018778772772617924,0.00030500000000000004,0.00023,0.0003850000000000001,0.00038856768842101175
