cell_id,m,rho,policy,n_replicates,n_cycles,burn_in,master_seed,mean_reference_error,mean_reference_error_ci_low,mean_reference_error_ci_high,mean_reference_error_replicate_sd,sd_reference_error,sd_reference_error_ci_low,sd_reference_error_ci_high,sd_reference_error_replicate_sd,rmse_reference_error,rmse_reference_error_ci_low,rmse_reference_error_ci_high,rmse_reference_error_replicate_sd,cycle_arl,cycle_arl_ci_low,cycle_arl_ci_high,cycle_arl_replicate_sd,median_tau,median_tau_ci_low,median_tau_ci_high,median_tau_replicate_sd,alternation_rate,alternation_rate_ci_low,alternation_rate_ci_high,alternation_rate_replicate_sd,alarm_up_proportion,alarm_up_proportion_ci_low,alarm_up_proportion_ci_high,alarm_up_proportion_replicate_sd,acf_e_lag1,acf_e_lag1_ci_low,acf_e_lag1_ci_high,acf_e_lag1_replicate_sd,acf_e_lag2,acf_e_lag2_ci_low,acf_e_lag2_ci_high,acf_e_lag2_replicate_sd,acf_e_lag3,acf_e_lag3_ci_low,acf_e_lag3_ci_high,acf_e_lag3_replicate_sd,acf_direction_lag1,acf_direction_lag1_ci_low,acf_direction_lag1_ci_high,acf_direction_lag1_replicate_sd,fraction_abs_e_gt_1,fraction_abs_e_gt_1_ci_low,fraction_abs_e_gt_1_ci_high,fraction_abs_e_gt_1_replicate_sd
gate4.1-pilot-bfedb977d6dc,1,0.0,fresh,20,500,200,20260820,-0.002202938419405584,-0.016136493603822386,0.011392403966183483,0.03318061497530454,1.0037299275448746,0.9914682318511372,1.0162389061711838,0.029265952758594962,1.0032500885230118,0.9909153550125903,1.0153308040313342,0.029215751504327155,83.0844,79.90725250000001,86.1900325,7.550386162309847,15.65,15.0,16.3,1.6311119875071343,0.4993987975951904,0.49107715430861715,0.5092184368737473,0.021813717975617417,0.5056,0.4997,0.5114,0.014195625716173435,0.0013479175592967462,-0.015972675311047523,0.01868172394037355,0.04145029341128526,-0.008266932677264695,-0.026476708372837197,0.010500842765013644,0.04424683033532121,0.008339997062917218,-0.008645803558597039,0.025290940389203567,0.04039304395710031,0.0003320807662342502,-0.020570256015892286,0.017799271299772317,0.04330129736298682,0.3223999999999999,0.3113,0.3331,0.02511950385027958
gate4.1-pilot-ff22504077fb,1,0.02,partial_reuse,20,500,200,20260820,-0.0017684150840490212,-0.015314846802260414,0.01118499530809753,0.03202436904902084,0.9841498216625755,0.9722474612374925,0.9962914089957133,0.028476248871928435,0.9836627015653951,0.9716720163558131,0.9952327456510792,0.028426821792101875,86.24340000000001,82.93445249999999,89.7612675,8.040355428121712,16.175,15.45,16.925,1.7112245538456403,0.5093186372745491,0.49909819639278563,0.520941883767535,0.025682554991391767,0.5045999999999999,0.49719749999999996,0.5115000000000001,0.01693454892722039,-0.014309759799753569,-0.03154522530455377,0.002945265783354075,0.04145624127625366,-0.008050266443296258,-0.026509704373309455,0.010731282466427253,0.044398197697477756,0.009086823674962136,-0.008160516768563005,0.02621130945744567,0.04083589757073929,-0.019770356800381046,-0.043849905034974115,0.0013675190552940128,0.051201655321011216,0.31229999999999997,0.3011975,0.323,0.024651465206800696
gate4.1-pilot-df9d386a0c6b,1,0.05,partial_reuse,20,500,200,20260820,-0.0008720550195643106,-0.014114807354644427,0.011872554499982773,0.03111130080304841,0.9565234386928871,0.9448431215221142,0.9685179005918998,0.028041913254123627,0.9560482288698722,0.9444587011208267,0.9675305555520072,0.02800026170811074,89.1011,86.149215,92.22133750000002,7.160700979358757,16.775,16.1,17.45,1.5683967677385184,0.5234468937875751,0.5121217434869738,0.5352705410821643,0.027133877485502486,0.5053000000000002,0.4984974999999999,0.5116025000000001,0.015937707686985287,-0.03847170197952267,-0.05610560701501748,-0.021203753512135555,0.04159288555633909,-0.006175153163443256,-0.024848520712615497,0.012892171016627344,0.04556443938513453,0.011755680430783219,-0.005480341562023184,0.029490356152771888,0.04215343341907415,-0.04789964239815726,-0.07271605106136386,-0.025757523690060777,0.053905018252936726,0.2986,0.2873,0.3098024999999999,0.025307373587449503
gate4.1-pilot-6dc3eb442942,1,0.1,partial_reuse,20,500,200,20260820,-0.0004759385705778354,-0.0126635699575256,0.010856593034432767,0.027784350443824612,0.9161920159974443,0.9052148391119583,0.9274936315126946,0.02630358930363859,0.9156754910399878,0.9046246069305041,0.9267610235938192,0.026297050193090345,93.7451,90.0328,97.215855,8.411327361925329,18.325,17.45,19.25,2.1043501309630512,0.5569138276553106,0.5468937875751503,0.5683366733466934,0.025761648273212538,0.5034,0.49669749999999996,0.51,0.01562858379953052,-0.08845763099927165,-0.10654467128249456,-0.0704429852422197,0.04227900060629466,0.00044912271372841826,-0.0176290120545099,0.019083396749986586,0.04404537338415694,0.01356075500983096,-0.0058323968585002745,0.0333895042678371,0.04714289085488595,-0.11465523075166788,-0.1383910643236037,-0.09184572260571422,0.05118276037508401,0.2777,0.26650000000000007,0.28859999999999997,0.025175384803414615
gate4.1-pilot-d93494ce4252,1,0.25,partial_reuse,20,500,200,20260820,-0.003013681630526318,-0.013460599496314674,0.007066006933813229,0.023409101243464653,0.8403543988201383,0.8308842711480353,0.8499474231013711,0.022978069784530767,0.8398267624228731,0.8299135107886567,0.8493954636744994,0.02304210385685488,98.08089999999999,94.5640925,101.4547575,8.114758133698198,21.225,20.25,22.275624999999994,2.3812590654614008,0.6594188376753507,0.6478932865731462,0.6714453907815632,0.027350159745247703,0.4997999999999999,0.4947000000000001,0.5044000000000001,0.011678139722079938,-0.25060639878733115,-0.27035177440849384,-0.22891061509142183,0.048838080942604195,0.05884897792524487,0.03681473647220321,0.08226817548232439,0.054812638058654696,-0.00252450856667241,-0.026023761977773688,0.021382258218462527,0.05703713809267957,-0.31889241545285685,-0.3432359739485261,-0.2949426087056447,0.05489695167036306,0.23230000000000003,0.2238975,0.2413,0.020149702884057364
gate4.1-pilot-26cc5a98e2ae,1,0.5,partial_reuse,20,500,200,20260820,-0.0029870623031805895,-0.01350542050679538,0.00871192005791548,0.026133548418386627,0.9080069428485775,0.9009677829257537,0.9144637486225937,0.015530751880590785,0.9074608534410743,0.9008615326095584,0.9140554264884545,0.015521701154117256,84.6797,81.019975,88.10298999999999,8.2558184974694,15.7,15.225,16.225624999999997,1.1742858972247996,0.8370741482965933,0.8304584168336673,0.8434869739478957,0.01587439609888897,0.5009999999999999,0.4976,0.505,0.008717797887081356,-0.4652612443372652,-0.48011510851843997,-0.44911672480933645,0.03706739467621397,0.2912727508999322,0.26950764226001,0.30936800666455344,0.04642152266978493,-0.18331579078242993,-0.20523522858720386,-0.16155983334450258,0.050341432974808954,-0.6732720159732937,-0.68616252885672,-0.658891644426232,0.03167101689480823,0.292,0.2855,0.2992,0.01615712324576833
gate4.1-pilot-70db68c1d113,1,1.0,full_reuse,20,500,200,20260820,-0.003159312747772412,-0.023343271886807227,0.015216894749306022,0.044265603209550995,1.3701047074279802,1.3607206363478102,1.379545269674105,0.02212312322643094,1.3694180239961196,1.360198690988754,1.3785349043253483,0.022059603129813345,49.403800000000004,46.82376000000001,52.76986499999999,6.807117819644839,8.375,8.175,8.575,0.48327283347913047,0.895691382765531,0.8897795591182366,0.9014028056112224,0.013630278798530146,0.4996999999999999,0.4968000000000001,0.503,0.007116326669227459,-0.5002209518554366,-0.5149322895411719,-0.4858687550680191,0.03522850582370938,0.3981314698018087,0.372685959318941,0.42582939185021146,0.06077897931896654,-0.2978279099437675,-0.32537449149940123,-0.27170778592357336,0.06206779024232411,-0.7901433143736415,-0.8018840025271773,-0.7790535209414996,0.02715501352790732,0.5272000000000001,0.5199999999999999,0.5346,0.017488642931312526
gate4.1-pilot-ace7b3bd1a2b,5,0.0,fresh,20,500,200,20260820,-0.0009851840112073658,-0.007216459323327482,0.005094837939104895,0.014838822124005691,0.4488816698082557,0.44339807279013305,0.45447585511575944,0.013088131958903166,0.4486670792740271,0.4431508187512978,0.45406973949271606,0.013065681275483455,164.60660000000001,159.15205,170.07555749999997,13.038716454427076,60.6,57.425,64.1,8.023977226183769,0.4999999999999999,0.49087925851703407,0.509318637274549,0.021302897420309913,0.506,0.4981999999999999,0.5141,0.018761663039293736,0.0013479175592967516,-0.015972675311047527,0.018681723940373565,0.04145029341128527,-0.008266932677264697,-0.026476708372837204,0.010500842765013656,0.04424683033532122,0.008339997062917225,-0.008645803558597034,0.02529094038920356,0.040393043957100305,-0.00146281517336137,-0.02001800786085099,0.017865970272114153,0.042118208158909126,0.026300000000000007,0.023600000000000003,0.029100000000000004,0.006497772897814985
gate4.1-pilot-47cd9537dab7,5,0.02,partial_reuse,20,500,200,20260820,-0.0007540904849636257,-0.006721335930295612,0.004979115660393405,0.014031338550255968,0.44048731466431745,0.43515656784142714,0.44599246549833876,0.01281136089381939,0.4402600713169349,0.4349269715093906,0.4455509917639169,0.012785748523430271,165.46640000000002,160.64907250000005,170.571945,11.883406468907099,62.825,60.0,65.875,7.178687389180486,0.5167334669338677,0.5074148296593186,0.5263552104208417,0.021674466869664295,0.5045999999999999,0.4969,0.5120000000000001,0.018065378344691334,-0.01995941973807186,-0.03751225294182366,-0.0023437058981269597,0.0416124606278482,-0.008011961071455315,-0.026153047436643807,0.010734928395028332,0.043997151018818764,0.010235628323769282,-0.006826563746410549,0.02728210887927515,0.04101472612389021,-0.03475618831594012,-0.053933655144696,-0.01603033053199633,0.04331324132285259,0.023900000000000005,0.0216,0.026600000000000006,0.005821014561596267
gate4.1-pilot-dbf86c2acb83,5,0.05,partial_reuse,20,500,200,20260820,-0.00014360969415816725,-0.00564115100602366,0.00509944525675788,0.0127630550124096,0.42917547647771875,0.4238806391916794,0.43469987092766155,0.012902166104977728,0.4289265866197344,0.4236117786562081,0.43428378637609955,0.012887670575983338,170.6855,164.9280975,175.9454125,12.85756149222378,66.575,64.1,69.225,6.222359934775128,0.5405811623246494,0.5301578156312624,0.5522044088176351,0.026313464290465827,0.5079,0.5003,0.5155,0.018312779546995117,-0.05509848898641058,-0.07326736763032812,-0.03717543202198149,0.04220040847528916,-0.0058209249550085565,-0.02445197043753843,0.013082911802761195,0.04494044268347221,0.010446196680539995,-0.006385284860367793,0.027965551279479302,0.04146252799691661,-0.08264550939725124,-0.10589190257812577,-0.06100453228432772,0.05298837711203635,0.0206,0.0181,0.023300000000000005,0.006227274473509342
