e,e_index,n_paths,n_batches,F1,F1_se,F1_batch_sd,mean_tau,mean_tau_se,median_tau,alarm_up_proportion,F_rho_0,F_rho_0_se,F_rho_0.02,F_rho_0.02_se,F_rho_0.05,F_rho_0.05_se,F_rho_0.1,F_rho_0.1_se,F_rho_0.25,F_rho_0.25_se,F_rho_0.5,F_rho_0.5_se,F_rho_1,F_rho_1_se
-0.15,0,1000000,20,1.4515946843283107,0.001208489628483619,0.005226417782438339,261.672249,0.2548978970749267,183.0,0.92569,-0.0005217268409049779,0.0010005976811686495,0.028520601382479333,0.00098084009718291,0.07208409371755581,0.0009523778924258141,0.14468991427601657,0.0009083950367506071,0.3625073759513989,0.0008084769604449466,0.7255364787437029,0.0007837878101496005,1.4515946843283107,0.001208489628483619
-0.1375,1,1000000,20,1.4083322336299,0.0012822116885957448,0.005726894884857159,282.506051,0.27623734664316674,198.0,0.910696,-0.0005217268409049779,0.0010005976811686495,0.027655352368511122,0.0009809929832589844,0.06992097118263527,0.0009529069149101411,0.14036366920617555,0.0009099767799920149,0.3516917632767962,0.0008168707923248234,0.7039052533944974,0.0008143200421740821,1.4083322336299,0.0012822116885957448
-0.125,2,1000000,20,1.3448365566498715,0.0013663871077990324,0.006121671030613184,303.791231,0.29704536463721043,213.0,0.890976,-0.0005217268409049779,0.0010005976811686495,0.026385438828910555,0.0009809840422011105,0.06674618733363386,0.0009530636499711002,0.1340141015081727,0.000910932030528799,0.3358178440317891,0.0008247370164786704,0.6721574149044833,0.0008470493630322732,1.3448365566498715,0.0013663871077990324
-0.1125,3,1000000,20,1.2756604154727733,0.001450368937717899,0.006600891412089939,326.017399,0.3192521263738035,228.0,0.869323,-0.0005217268409049779,0.0010005976811686495,0.025001916005368587,0.0009810861338083185,0.06328738027477894,0.0009535081773303401,0.12709648739046286,0.0009124954965588117,0.3185238087375146,0.0008342583330265183,0.6375693443159343,0.0008820316157041643,1.2756604154727733,0.001450368937717899
-0.1,4,1000000,20,1.1916940134199792,0.0015376478591250854,0.005445594592686595,348.051082,0.3420986604974109,243.0,0.8436810000000001,-0.0005217268409049779,0.0010005976811686495,0.02332258796431271,0.0009810674729272603,0.05908906017213923,0.0009536709481656008,0.11869984718518345,0.0009135692660886287,0.2975322082243161,0.0008431715105193512,0.5955861432895372,0.0009172676226347102,1.1916940134199792,0.0015376478591250854
-0.0875,5,1000000,20,1.093162519305029,0.0016265292360197758,0.008716270274282959,370.523593,0.36416295303068197,259.0,0.813834,-0.0005217268409049779,0.0010005976811686495,0.0213519580820137,0.0009811167921068536,0.05416248546639171,0.0009540195325320638,0.10884669777368841,0.000915067745417978,0.2728993346955785,0.0008534430722745469,0.546320396232062,0.0009547190527282689,1.093162519305029,0.0016265292360197758
-0.075,6,1000000,20,0.9778405534058451,0.0017131571080582723,0.005791155443418591,392.270496,0.38591976831458324,274.0,0.780095,-0.0005217268409049779,0.0010005976811686495,0.019045518764030024,0.0009811910821973938,0.04839638717143253,0.0009544366837040351,0.09731450118377004,0.0009167224718761067,0.2440688432207825,0.0008641379946440949,0.4886594132824701,0.000992068202335445,0.9778405534058451,0.0017131571080582723
-0.0625,7,1000000,20,0.8473096914175179,0.0017918944439488684,0.006350320579578095,411.609171,0.4049687284363618,287.0,0.7422320000000001,-0.0005217268409049779,0.0010005976811686495,0.016434901524263478,0.000981285160726773,0.04186984407201617,0.0009548922644676393,0.0842614149849373,0.0009184120818018642,0.2114361277237007,0.0008744674300708787,0.4233939822883064,0.0010267135944047173,0.8473096914175179,0.0017918944439488684
-0.05,8,1000000,20,0.7015539664242173,0.001866482242341948,0.00960874013636597,429.912049,0.4236993675600374,300.0,0.6994889999999999,-0.0005217268409049779,0.0010005976811686495,0.01351978702439747,0.0009813323331359456,0.034582057822351145,0.0009552283828924502,0.06968584248560726,0.0009198550880443403,0.17499719647537562,0.0008840753333971027,0.35051611979165626,0.0010593144294988764,0.7015539664242173,0.001866482242341948
-0.0375,9,1000000,20,0.5414080598215112,0.001928667976574739,0.010217999841604677,444.839222,0.43852316991808454,310.0,0.654084,-0.0005217268409049779,0.0010005976811686495,0.010316868892343343,0.000981362905082833,0.02657476249221583,0.000955493543067929,0.053671251825336636,0.0009210512872831015,0.13496071982469904,0.0008921941452125131,0.2704431664903031,0.0010866045084878366,0.5414080598215112,0.001928667976574739
-0.025,10,1000000,20,0.3698184103819243,0.0019749719196721976,0.010369146401492108,456.442839,0.44999125045354554,319.0,0.604887,-0.0005217268409049779,0.0010005976811686495,0.006885075903551608,0.0009813931350371422,0.01799528002023649,0.0009557135393000573,0.03651228688137795,0.0009219997115858652,0.09206330746480235,0.0008984338934963554,0.18464834177050968,0.0011071280122218338,0.3698184103819243,0.0019749719196721976
-0.0125,11,1000000,20,0.1858699433994133,0.0020020741681483585,0.007711986326228327,462.90923,0.45590722718575855,323.0,0.5529769999999999,-0.0005217268409049779,0.0010005976811686495,0.0032061065639013876,0.0009813998678093578,0.008797856671110934,0.0009558166013297671,0.01811744018312685,0.0009225096435551424,0.046076190719174584,0.0009020166912086637,0.09267410827925415,0.0011190611173240203,0.1858699433994133,0.0020020741681483585
0.0,12,1000000,20,0.001954524873499925,0.002012201431230112,0.006403980218277609,465.968698,0.4593850129736221,325.0,0.500154,-0.0005217268409049779,0.0010005976811686495,-0.00047220180661687995,0.0009813397674548086,-0.00039791425518473264,0.0009556995995595029,-0.0002741016694644875,0.0009223959288334548,9.733608769624743e-05,0.0009027131015294251,0.0007163990162974734,0.0011228308710982307,0.001954524873499925,0.002012201431230112
0.0125,13,1000000,20,-0.18188127751634883,0.0020029976692645516,0.0056171474613562755,462.881032,0.45672051836133537,323.0,0.44814,-0.0005217268409049779,0.0010005976811686495,-0.004148917854413856,0.0009814083180089551,-0.009589704374677172,0.0009558405895292221,-0.018657681908449367,0.0009225672856684431,-0.04586161450976595,0.0009022249133909426,-0.09120150217862692,0.0011195602454494758,-0.18188127751634883,0.0020029976692645516
0.025,14,1000000,20,-0.36825105910859446,0.001974751367180261,0.010566954971380787,456.553889,0.4496157922230227,318.0,0.39563,-0.0005217268409049779,0.0010005976811686495,-0.007876313486258769,0.0009814109158489185,-0.018908193454289454,0.0009557570902371045,-0.03729466006767393,0.00092208275833419,-0.09245405990782735,0.0008985912399166264,-0.1843863929747497,0.0011072327017644238,-0.36825105910859446,0.001974751367180261
0.0375,15,1000000,20,-0.5401890164850731,0.0019273521961151354,0.00808614881893231,444.86024,0.43868978969412314,311.0,0.34633899999999995,-0.0005217268409049779,0.0010005976811686495,-0.01131507263378834,0.00098135675096552,-0.02750509132311339,0.0009554741610294107,-0.054488455805321794,0.0009209986927965028,-0.135438549251947,0.0008919625287904724,-0.270355371662989,0.0010859616745324515,-0.5401890164850731,0.0019273521961151354
0.05,16,1000000,20,-0.6962924719005659,0.0018670471755955036,0.009601603632100345,430.856473,0.42423640932330553,301.0,0.30124999999999996,-0.0005217268409049779,0.0010005976811686495,-0.014437141742098196,0.0009813465793149891,-0.03531026409388802,0.0009552655409273834,-0.07009880134687108,0.0009199342323091675,-0.1744644131058202,0.0008842965734716749,-0.34840709937073544,0.0010597264927053015,-0.6962924719005659,0.0018670471755955036
