e,e_index,n_paths,n_batches,F1,F1_se,F1_batch_sd,mean_tau,mean_tau_se,median_tau,alarm_up_proportion,F_rho_0.5,F_rho_0.5_se
-0.81,0,800000,20,1.181408554209785,0.0007922659199352502,0.0026727404264739172,14.826065,0.010186298878669073,13.0,0.9999962499999999,0.5900485972525661,0.0006854080717586706
-0.7875000000000001,1,800000,20,1.1961892055113363,0.0007906855736240411,0.0031430885081675146,15.583375,0.010929466081573006,13.0,0.99999375,0.5974389229033416,0.0006853281750213179
-0.765,2,800000,20,1.2135352773221315,0.0007886905344789627,0.00361481115434789,16.43359875,0.011776422793983976,14.0,0.9999912499999999,0.6061119588087392,0.0006843378799452669
-0.7425,3,800000,20,1.229387985973268,0.0007866862827193918,0.0032729260627941074,17.35685625,0.012706229835946253,14.0,0.9999849999999999,0.6140383131343075,0.0006842211029541191
-0.72,4,800000,20,1.2448745282004925,0.0007847949067428074,0.0031786538826008375,18.39595125,0.013762938266232122,15.0,0.999985,0.6217815842479196,0.0006834348148786087
-0.6975,5,800000,20,1.2627037110317196,0.0007833345682961607,0.004122317150794217,19.53696125,0.01492372247813406,16.0,0.9999737499999999,0.6306961756635333,0.0006832022066009959
-0.675,6,800000,20,1.2770834460003344,0.0007815925913173797,0.0036719899026630737,20.80263125,0.01621639611234669,17.0,0.99996375,0.6378860431478408,0.000682374619242855
-0.6525,7,800000,20,1.2955045271271692,0.0007801462062523189,0.0033031333046380177,22.2170125,0.01769602599187808,18.0,0.9999537499999998,0.6470965837112581,0.0006816507616538107
-0.63,8,800000,20,1.3115448531108715,0.0007789383511586754,0.003194745490932287,23.8028525,0.01939184151604616,19.0,0.9999374999999999,0.6551167467031093,0.00068161716020365
-0.6074999999999999,9,800000,20,1.3284851067278092,0.0007764941088857941,0.004126242239837464,25.5982625,0.02131105650953934,20.0,0.9999362499999999,0.6635868735115783,0.0006808924626451875
-0.585,10,800000,20,1.3457786712455022,0.0007758403591138029,0.0030175416559706483,27.5785825,0.023388724228330486,22.0,0.99988625,0.6722336557704245,0.0006809172109636328
-0.5624999999999999,11,800000,20,1.3643907335302403,0.0007755852500677407,0.0030298028614348816,29.877345,0.025867784075786916,23.0,0.99986625,0.6815396869127935,0.0006815344182176932
-0.5399999999999999,12,800000,20,1.3812345890299254,0.0007753618126117749,0.003838317236521703,32.43023875,0.028614324147783587,25.0,0.9997712499999999,0.6899616146626363,0.0006806235631545131
0.0,13,800000,20,0.0037934947122940117,0.0022515062098573944,0.011244516704912293,464.94405875,0.5123674377274547,324.0,0.5008425,0.0012410675038205363,0.001256937960079966
0.5399999999999999,14,800000,20,-1.3796272694744964,0.0007747890909386439,0.0024090705234505326,32.4561375,0.028699547519192733,25.0,0.00018500000000000002,-0.6904693145895748,0.0006804644217957979
0.5624999999999999,15,800000,20,-1.3629657516193332,0.0007751574043501213,0.0029608288523913897,29.8420925,0.02583583999776454,23.0,0.00015000000000000001,-0.682138555661993,0.0006805037799130011
0.585,16,800000,20,-1.345669906954917,0.0007756334475711633,0.003431481321575941,27.59458625,0.02342377683878692,22.0,0.00011250000000000001,-0.6734906333297851,0.0006808737374706437
0.6074999999999999,17,800000,20,-1.326672218105779,0.0007764463942287821,0.003345753146322407,25.5603275,0.02120282484577601,20.0,6.125e-05,-0.663991788905216,0.0006807461708775279
0.63,18,800000,20,-1.3107458263633878,0.0007780912649901021,0.0038659146797279105,23.78467875,0.019368503689890248,19.0,7e-05,-0.6560285930340205,0.0006808816539170747
0.6525,19,800000,20,-1.2957755547599148,0.0007790936769461964,0.003977151396824464,22.21037875,0.017699307112039046,18.0,5e-05,-0.6485434572322838,0.0006814959583269938
0.675,20,800000,20,-1.277256121557851,0.0007810510712442925,0.004262523465198466,20.79859625,0.016223448827229127,17.0,3.125e-05,-0.6392837406312522,0.0006822825969249041
0.6975,21,800000,20,-1.259920374564624,0.0007825922097832237,0.003110747262015016,19.525425,0.014898776713329629,16.0,2.5e-05,-0.6306158671346385,0.0006825477986679043
0.72,22,800000,20,-1.2449941483272908,0.000784464507011647,0.00403287335050048,18.40402625,0.013758814599389102,15.0,2.6250000000000004e-05,-0.6231527540159719,0.0006833079237825913
0.7425,23,800000,20,-1.2273074541592779,0.0007863572824420023,0.003294481644596031,17.3727925,0.012718292928245065,14.0,1.7500000000000002e-05,-0.6143094069319652,0.0006839215503165562
0.765,24,800000,20,-1.2117522018666558,0.0007890180056070221,0.00352916586371971,16.445165,0.011808083039469197,14.0,8.75e-06,-0.6065317807856543,0.0006840547467317034
0.7875000000000001,25,800000,20,-1.1963703064129911,0.0007904544293076542,0.002642603354837518,15.59923,0.010964921690133477,13.0,6.25e-06,-0.5988408330588221,0.0006849016927078269
0.81,26,800000,20,-1.1804452615268342,0.0007918015914764429,0.0033424718729658065,14.82389625,0.010215405833455192,12.0,3.7500000000000005e-06,-0.5908783106157436,0.0006850384043085785
