e,e_index,n_paths,n_batches,F1,F1_se,F1_batch_sd,mean_tau,mean_tau_se,median_tau,alarm_up_proportion,F_rho_0,F_rho_0_se,F_rho_0.02,F_rho_0.02_se,F_rho_0.05,F_rho_0.05_se,F_rho_0.1,F_rho_0.1_se,F_rho_0.25,F_rho_0.25_se,F_rho_0.5,F_rho_0.5_se,F_rho_1,F_rho_1_se
-3.0,0,300000,20,0.3867587953900686,0.0016529792090694171,0.006353246437037312,2.5719066666666666,0.0011927338166807934,2.0,1.0,-0.0007158647843678218,0.0018265012207371201,0.007033628419120905,0.0017902848163421174,0.018657868224353998,0.0017371642486920032,0.038031601233075814,0.001652182541625923,0.09615280025924126,0.0014309498106695802,0.19302146530285036,0.0012318657274500097,0.3867587953900686,0.0016529792090694171
-2.5,1,300000,20,0.48856225541641646,0.00161118868734502,0.00616241630317122,3.11142,0.0015990012234081683,3.0,1.0,-0.0007158647843678218,0.0018265012207371201,0.009069697619647862,0.0017903264837339818,0.023748041225671392,0.001737208220977013,0.0482119472357106,0.0016520528645446023,0.12160366526582823,0.0014286500212345964,0.2439231953160243,0.0012190116162664258,0.48856225541641646,0.00161118868734502
-2.0,2,300000,20,0.6181485295605852,0.0015353500890019044,0.008210686080926084,4.00806,0.002347391374824119,4.0,1.0,-0.0007158647843678218,0.0018265012207371201,0.011661423102531236,0.0017902143962765856,0.030227354932879827,0.0017368231154695978,0.06117057465012748,0.0016509051504375906,0.1540002338018704,0.0014223924905229096,0.30871633238810864,0.0011926569040384381,0.6181485295605852,0.0015353500890019044
-1.5,3,300000,20,0.7993702353978145,0.0014316252016888962,0.0065343399571581254,5.75007,0.0040964110751636525,5.0,1.0,-0.0007158647843678218,0.0018265012207371201,0.015285857219275821,0.0017902375373413557,0.03928844022474129,0.0017367453145079148,0.07929274523385041,0.001650259384565786,0.19930566026117774,0.0014163108089757933,0.3993271853067233,0.0011610857742519523,0.7993702353978145,0.0014316252016888962
-1.25,4,300000,20,0.9186728975881605,0.0013794753604674667,0.006235623812888788,7.394136666666666,0.005985252833582917,7.0,1.0,-0.0007158647843678218,0.0018265012207371201,0.017671910463082745,0.0017902303117188453,0.04525357333425859,0.001736662662765783,0.09122301145288501,0.0016498607572804705,0.22913132580876422,0.0014131834193037084,0.4589785164018963,0.0011453770234318512,0.9186728975881605,0.0013794753604674667
-1.0,5,300000,20,1.057447165772198,0.0013280809104043133,0.006753691126195286,10.38268,0.009954957746232732,9.0,1.0,-0.0007158647843678218,0.0018265012207371201,0.020447395826763495,0.001790141797904723,0.05219228674346048,0.0017363801965354082,0.10510043827128877,0.0016490753053188029,0.2638248928547736,0.001409216476785244,0.5283656504939152,0.0011286132644431326,1.057447165772198,0.0013280809104043133
-0.75,6,300000,20,1.2230086814217171,0.0012857637105079082,0.005196306034330878,17.060866666666666,0.020242537034329558,14.0,0.9999933333333333,-0.0007158647843678218,0.0018265012207371201,0.023758626139753877,0.0017901585335157741,0.06047036252593642,0.0017363732593218462,0.12165658983624067,0.001648884942951261,0.30521527176715335,0.0014071156213045814,0.6111464083186745,0.0011168902635555803,1.2230086814217171,0.0012857637105079082
-0.6,7,300000,20,1.3361693171624929,0.001266481374776539,0.006250298027050186,26.2519,0.035881302490504946,21.0,0.9999366666666669,-0.0007158647843678218,0.0018265012207371201,0.02602183885456939,0.0017901390218669256,0.06612839431297521,0.001736302816837067,0.13297265341031825,0.0016486658363744492,0.3335054307023474,0.0014058515497956188,0.6677267261890625,0.0011110808240249112,1.3361693171624929,0.001266481374776539
-0.5,8,300000,20,1.4131952199836941,0.0012631778219586052,0.005396929940288125,38.00918,0.05661152436441887,29.0,0.9996199999999998,-0.0007158647843678218,0.0018265012207371201,0.027562356910993416,0.0017901395545120407,0.06997968945403528,0.001736300464274355,0.1406752436924384,0.001648647802732646,0.35276190640764765,0.0014056836404706555,0.7062396775996631,0.0011101704117326757,1.4131952199836941,0.0012631778219586052
-0.4,9,300000,20,1.4927925926293335,0.00127830425329926,0.004330399913032503,59.73650666666666,0.09590924025427468,44.0,0.9985033333333332,-0.0007158647843678218,0.0018265012207371201,0.029154304363906206,0.001790131259366716,0.07395955808631724,0.0017362966826322342,0.1486349809570023,0.0016487016194689768,0.3726612495690575,0.0014063847285596793,0.7460383639224828,0.0011142325964348342,1.4927925926293335,0.00127830425329926
