e,e_index,n_paths,n_batches,F1,F1_se,F1_batch_sd,mean_tau,mean_tau_se,median_tau,alarm_up_proportion,F_rho_0.25,F_rho_0.25_se
-0.42000000000000004,0,200000,20,1.4760842797822586,0.001564909709382677,0.006188383677720906,54.193265,0.10481487489373285,40.0,0.9988349999999999,0.3694955941401911,0.0017235109088220239
-0.41250000000000003,1,200000,20,1.4844464480043493,0.0015608162101203756,0.007673269787982362,56.085835,0.10956567624010233,41.0,0.9987999999999999,0.3698845249836262,0.0017229870848670752
-0.405,2,200000,20,1.489045878275999,0.0015649180512491956,0.00681847095184866,58.34988,0.11470379354986161,43.0,0.99857,0.37242534478864414,0.0017233635989947309
-0.3975,3,200000,20,1.4962321127741096,0.0015643599239508375,0.004400264253572883,60.689865,0.1194971667206932,44.0,0.99853,0.37424391059231027,0.0017244449824080487
-0.39,4,200000,20,1.499566961245202,0.001572653379824362,0.006321093096689541,63.082975,0.12487105014631172,46.0,0.9981750000000001,0.3713900399428697,0.0017240190169647476
-0.3825,5,200000,20,1.505819233081739,0.0015788883410640872,0.006236551658134355,65.415775,0.129473852565448,48.0,0.9979750000000001,0.37663034143953933,0.0017210277587026742
-0.375,6,200000,20,1.5127002753140202,0.0015815777915132079,0.005513159280063323,68.03636,0.13605089135679044,50.0,0.9978500000000002,0.377016962289333,0.001726414038756781
-0.3675,7,200000,20,1.5185671124809927,0.001586396841426781,0.005634667682760415,70.68183,0.14204159450079523,51.0,0.9975000000000002,0.383696082705723,0.001725590866524417
-0.36,8,200000,20,1.524930408560905,0.00159413729060676,0.006529795735188693,73.70888,0.1489337567579879,53.0,0.9972249999999999,0.3794771676571385,0.001723343156406898
-0.3525,9,200000,20,1.5275317145493685,0.001600065970063754,0.007821926862562468,76.467605,0.15496089851062497,55.0,0.9967750000000002,0.38229503369065115,0.0017222695896236008
-0.345,10,200000,20,1.5346435603116932,0.0016086740223346366,0.007117129999100271,79.751025,0.16205947071555898,58.0,0.9965300000000001,0.38330011316975543,0.0017270470483026982
-0.33749999999999997,11,200000,20,1.5388148414898186,0.0016251550448694314,0.0056721697034968,83.43103,0.17006825800765235,60.0,0.9959250000000001,0.38358932168863613,0.0017252857772352928
-0.32999999999999996,12,200000,20,1.545288392569364,0.001633565103798424,0.008065888802293926,86.94835,0.17845121878422388,63.0,0.9958250000000002,0.3875044851160088,0.0017254592521689209
0.0,13,200000,20,-0.003991969660153998,0.0044982942878151865,0.022066173309068418,464.278735,1.0235418458463483,324.0,0.499105,-0.000843119426190406,0.002021670586119918
0.32999999999999996,14,200000,20,-1.5471476973598048,0.001621744109473102,0.010110224674616693,86.764685,0.1777116454158209,63.0,0.004,-0.38673355014636823,0.0017268278325973578
0.33749999999999997,15,200000,20,-1.5401334461187501,0.0016246090995668903,0.007895518165367292,83.22625,0.16989979218464168,60.0,0.00402,-0.38488884137549556,0.0017251321893585502
0.345,16,200000,20,-1.5348724515493162,0.0016133203233283557,0.005877315824029978,79.834135,0.16194943070940204,58.0,0.003565,-0.3826200643201951,0.0017223925453828716
0.3525,17,200000,20,-1.5311389420565718,0.0016056514680174952,0.006759996210699889,76.631295,0.15546456703787168,55.0,0.003075,-0.3808854249383074,0.0017236457323438837
0.36,18,200000,20,-1.5239153787141075,0.0015976901049367003,0.00669184265407971,73.739715,0.14849680094228737,53.0,0.0027,-0.38146333307866936,0.0017249527736718847
0.3675,19,200000,20,-1.5185924733153016,0.0015911592536315372,0.007471550764894777,70.80938,0.14190755902648225,52.0,0.0025399999999999993,-0.3823958297252062,0.0017247899277698633
0.375,20,200000,20,-1.5136722550685526,0.0015859965398674542,0.006524438297368128,67.852025,0.13545154734297155,49.0,0.002155,-0.37675859804203354,0.0017225814169110655
0.3825,21,200000,20,-1.5077653165818827,0.0015819545012262317,0.0057363556784877446,65.4427,0.1300259047929665,48.0,0.002105,-0.37962890855817777,0.001722289687958891
0.39,22,200000,20,-1.5021593147823256,0.001574419482927658,0.007683539026848286,63.03303,0.12435131547894379,46.0,0.0017850000000000001,-0.375173441486954,0.0017235524990123
0.3975,23,200000,20,-1.4962527467489437,0.001579888401205727,0.008086924507021066,60.5726,0.11905261405708222,45.0,0.0017199999999999997,-0.37040514263788876,0.0017277370639476063
0.405,24,200000,20,-1.4883491745679185,0.0015664089778548147,0.006269098174166169,58.35202,0.11427740396169,43.0,0.001575,-0.3744112516525546,0.0017255274270881428
0.41250000000000003,25,200000,20,-1.4829003707244737,0.001565296242198166,0.009068109064988237,56.205695,0.10928686238943056,41.0,0.0012499999999999998,-0.3722719607464543,0.001719330453942304
0.42000000000000004,26,200000,20,-1.4776681013758486,0.0015569809031911455,0.005210412716122398,54.21696,0.1049218232053605,40.0,0.00108,-0.368967105526934,0.0017212008545209932
