e,e_index,n_paths,n_batches,F1,F1_se,F1_batch_sd,mean_tau,mean_tau_se,median_tau,alarm_up_proportion,F_rho_0,F_rho_0_se,F_rho_0.02,F_rho_0.02_se,F_rho_0.05,F_rho_0.05_se,F_rho_0.1,F_rho_0.1_se,F_rho_0.25,F_rho_0.25_se,F_rho_0.5,F_rho_0.5_se,F_rho_1,F_rho_1_se
-3.0,0,100000,20,0.39059246796593894,0.0028629503113061596,0.012257475786719381,2.57219,0.0020734823443401495,2.0,1.0,0.001479920008243484,0.003160030122454638,0.009262170967397393,0.0030971706469021102,0.02093554740612826,0.0030049695669562434,0.04039117480401303,0.0028574643579216794,0.09875805699766735,0.0024734866771126233,0.19603619398709124,0.002128544263707601,0.39059246796593894,0.0028629503113061596
-2.5,1,100000,20,0.48965337050968816,0.0027954094958495255,0.008079276139215953,3.11112,0.0027754279824929447,3.0,1.0,0.001479920008243484,0.003160030122454638,0.011243389018272378,0.0030974089871738564,0.025888592533315723,0.003005467550518015,0.05029726505838795,0.002858104663798595,0.12352328263360465,0.0024718084438211385,0.2455666452589658,0.002110909716551433,0.48965337050968816,0.0027954094958495255
-2.0,2,100000,20,0.6157887486857399,0.0026598618295268772,0.013193830405395617,4.00799,0.004090358041698683,4.0,1.0,0.001479920008243484,0.003160030122454638,0.013766096581793412,0.003097390434426863,0.03219536144211831,0.00300523291217287,0.06291080287599313,0.0028569561085407414,0.15505712717761758,0.0024627934270054397,0.3086343343469917,0.002067216548103658,0.6157887486857399,0.0026598618295268772
-1.5,3,100000,20,0.7954908783413601,0.002484378989320028,0.009002620019648182,5.74252,0.007058054877753967,5.0,1.0,0.001479920008243484,0.003160030122454638,0.017360139174905816,0.0030972876993166157,0.041180467924899315,0.0030047463803988465,0.08088101584155515,0.002855154412503657,0.19998265959152264,0.002450774833295685,0.3984853991748018,0.0020110174086034453,0.7954908783413601,0.002484378989320028
-1.25,4,100000,20,0.9154986437445555,0.002385836758283748,0.011781718454492909,7.38611,0.010332345244550362,7.0,1.0,0.001479920008243484,0.003160030122454638,0.019760294482969724,0.0030972621003235016,0.04718085619505909,0.0030045601901665577,0.09288179238187469,0.0028543407018480093,0.22998460094232148,0.0024447129946438243,0.4584892818763995,0.001981069531093364,0.9154986437445555,0.002385836758283748
-1.0,5,100000,20,1.0597190226743063,0.002302264755890717,0.00784973537944201,10.37436,0.017210093194898093,9.0,1.0,0.001479920008243484,0.003160030122454638,0.02264470206156474,0.003097048473349879,0.054391875141546635,0.003003926654038222,0.10730383027484977,0.00285271559666329,0.2660396956747592,0.00243741150829418,0.5305994713412749,0.0019523853260338497,1.0597190226743063,0.002302264755890717
-0.75,6,100000,20,1.222625837435633,0.002218169743006446,0.008709860338381843,17.07709,0.03518862108280938,14.0,1.0,0.001479920008243484,0.003160030122454638,0.02590283835679127,0.003097293100478039,0.06253721587961296,0.0030044410094984034,0.12359451175098242,0.0028533911528810184,0.3067663993650908,0.0024358091610353905,0.6120528787219381,0.0019334009773884083,1.222625837435633,0.002218169743006446
-0.6,7,100000,20,1.3342533958248386,0.0021946715877854874,0.010224664379308294,26.30214,0.06236899400437794,21.0,0.9998900000000001,0.001479920008243484,0.003160030122454638,0.02813538952457539,0.0030968608389802684,0.06811859379907324,0.0030033345200696253,0.13475726758990303,0.002851087507640922,0.33467328896239223,0.0024292938108754028,0.6678666579165412,0.001917939850040104,1.3342533958248386,0.0021946715877854874
-0.5,8,100000,20,1.4107234794666141,0.0021809823247305794,0.007480355538087374,38.05757,0.09830921627177706,29.0,0.9996600000000001,0.001479920008243484,0.003160030122454638,0.029664791197410893,0.0030974338873355567,0.07194209798116201,0.003004751067425184,0.14240427595408053,0.002853858847979119,0.353790809872836,0.0024355514432915074,0.7061016997374285,0.0019259023616511098,1.4107234794666141,0.0021809823247305794
-0.4,9,100000,20,1.4917428791174818,0.0022206901201584214,0.009862511501220635,59.99581,0.16689971204162635,44.0,0.9983599999999999,0.001479920008243484,0.003160030122454638,0.03128517919042825,0.003097202305746044,0.0759930679637054,0.0030042170157104113,0.15050621591916732,0.002852954577838343,0.37404565978555315,0.0024348392798605903,0.7466113995628626,0.0019322539530870634,1.4917428791174818,0.0022206901201584214
