e,e_index,n_paths,n_batches,F1,F1_se,F1_batch_sd,mean_tau,mean_tau_se,median_tau,alarm_up_proportion,F_rho_0.25,F_rho_0.25_se
-0.42000000000000004,0,200000,20,1.4756626679303124,0.001562990409968684,0.006371550130457871,54.36603,0.10547508585047077,40.0,0.99871,0.36936389258595603,0.0017240414587595457
-0.41250000000000003,1,200000,20,1.4818927905619703,0.0015614141583130126,0.004816954094928639,56.09566,0.10942407511129838,41.0,0.99867,0.3709214232438705,0.0017251262341800193
-0.405,2,200000,20,1.4899270319210491,0.0015689414736491558,0.005357722205744473,58.397485,0.11425220050922642,43.0,0.9985050000000001,0.3729299835836402,0.0017242285800445644
-0.3975,3,200000,20,1.4947215424278248,0.0015698106382751966,0.00435594382094115,60.635425,0.11919861677845967,45.0,0.99838,0.37412861121033414,0.0017245989417820336
-0.39,4,200000,20,1.5022623107928463,0.0015747918414722479,0.007040162019753304,62.880875,0.12407680382101284,46.0,0.9982300000000001,0.37601380330158946,0.001725102624659067
-0.3825,5,200000,20,1.5063960982123552,0.001571060872625752,0.007327199151804789,65.25445,0.12950254198481742,48.0,0.99802,0.3770472501564668,0.0017267290318474882
-0.375,6,200000,20,1.5084510253807273,0.001582319471299864,0.00841545073943323,67.90399,0.1355335038175166,50.0,0.997715,0.3775609819485598,0.0017258817319804908
-0.3675,7,200000,20,1.5164974764256247,0.0015910799113912988,0.007629253192457439,70.683555,0.14144012360130592,52.0,0.9975699999999998,0.3795725947097841,0.0017246210902183447
-0.36,8,200000,20,1.5246350296157616,0.0015936872848877127,0.009159579901111811,73.690335,0.14879312890693216,53.0,0.9974000000000001,0.3816069830073183,0.0017265579681400968
-0.3525,9,200000,20,1.5281468994962975,0.001605703583820814,0.006836291682729582,76.51176,0.1549589797976842,55.0,0.9968600000000002,0.3824849504774523,0.0017274065298504948
-0.345,10,200000,20,1.5352588230209676,0.001608631694747845,0.007860122936333178,79.74776,0.16146320719206708,58.0,0.99659,0.38426293135861983,0.0017275210908524708
-0.33749999999999997,11,200000,20,1.5411435048611029,0.0016180690158578194,0.006645964942749874,82.952985,0.16934846136725218,60.0,0.99613,0.3857341018186536,0.0017269525606077988
-0.32999999999999996,12,200000,20,1.5430245314256548,0.0016396398391607726,0.007109327327681686,86.776395,0.17796028890834611,62.0,0.99535,0.3862043584597916,0.001729354490013118
0.0,13,200000,20,-0.007117336809405822,0.004499313921407596,0.018503675001837323,465.08304,1.027681223612302,324.0,0.49784000000000006,-0.0013311085989735339,0.0020187960675042836
0.32999999999999996,14,200000,20,-1.5444626804530641,0.0016296346828142676,0.005715688199112874,86.634535,0.17750097446112387,62.0,0.00434,-0.385667444509888,0.0017267171456622579
0.33749999999999997,15,200000,20,-1.5386905901894028,0.0016204514355525675,0.006479252245937429,83.13092,0.1698303331607116,60.0,0.0039749999999999985,-0.38422442194397277,0.0017289726666787357
0.345,16,200000,20,-1.5329550075823046,0.0016134390892552624,0.007798064950649067,79.611815,0.1615891883523085,58.0,0.003585,-0.3827905262921983,0.0017282098468069146
0.3525,17,200000,20,-1.528918501941793,0.0016053821831663736,0.007363536004837693,76.773895,0.15488351317089286,56.0,0.0031849999999999995,-0.3817813998820703,0.0017264238754895168
0.36,18,200000,20,-1.5225359533364236,0.0015980805074295996,0.006280644945986263,73.359355,0.14790377859459333,53.0,0.0028399999999999996,-0.380185762730728,0.0017275070640653558
0.3675,19,200000,20,-1.5161830523436428,0.0015887897363251356,0.0061607767926020185,70.706245,0.14237562930185407,51.0,0.0025499999999999997,-0.3785975374825328,0.00172593691368813
0.375,20,200000,20,-1.5111866716774722,0.001579239152518157,0.006670464446991491,68.080235,0.13625932434054275,49.0,0.0022749999999999997,-0.37734844231599013,0.001725898293255058
0.3825,21,200000,20,-1.5060020312862101,0.0015718012788338077,0.006994953417630837,65.44767,0.13059131834971893,48.0,0.00189,-0.3760522822181745,0.0017259270848267656
0.39,22,200000,20,-1.4993350048782321,0.0015779573648823024,0.007323048320071024,62.94648,0.1249792085791108,46.0,0.0018750000000000004,-0.3743855256161801,0.0017249305253605519
0.3975,23,200000,20,-1.495724501039742,0.0015699239380339662,0.007803704384447922,60.55579,0.11964321004498353,44.0,0.00159,-0.37348289965655757,0.0017243906079425157
0.405,24,200000,20,-1.4890920281557645,0.0015619426805585602,0.0056961828168344535,58.3958,0.11470028985396011,43.0,0.00129,-0.3718247814355632,0.0017251031187414656
0.41250000000000003,25,200000,20,-1.4812050958178231,0.001565782523421794,0.008348267825852781,56.270225,0.11006838370982076,41.0,0.0013000000000000002,-0.3698530483510779,0.0017250154921948494
0.42000000000000004,26,200000,20,-1.4766523268438654,0.0015558008570350384,0.007638363139971937,54.29586,0.10571552422970959,40.0,0.001175,-0.3687148561075884,0.001722760450009599
