e,e_index,n_paths,n_batches,F1,F1_se,F1_batch_sd,mean_tau,mean_tau_se,median_tau,alarm_up_proportion,F_rho_0.5,F_rho_0.5_se
-0.81,0,200000,20,1.1791094891654208,0.001584327309629421,0.007370655945136298,14.84587,0.020495265794692685,13.0,0.999995,0.5898535616516289,0.0013732121108811027
-0.7875000000000001,1,200000,20,1.1962359111762413,0.001583575118564004,0.006442465548613657,15.624055,0.021935698248726054,13.0,0.999995,0.5984167726570392,0.0013723336936274433
-0.765,2,200000,20,1.2115492225132738,0.001574403753138666,0.005619881826664536,16.44624,0.02356955614626386,14.0,0.99999,0.6060734283255556,0.0013674232415218529
-0.7425,3,200000,20,1.225815898512725,0.0015707096159780338,0.005170792000866118,17.37835,0.025388134613917503,14.0,0.9999800000000001,0.6132067663252811,0.0013670690364021058
-0.72,4,200000,20,1.24005198835891,0.0015644612169061916,0.004794008182702101,18.3956,0.027438100653048803,15.0,0.999985,0.6203248112483736,0.0013638392802137534
-0.6975,5,200000,20,1.2598736977113694,0.0015667140614634802,0.00665644528458987,19.548315,0.029857724054627867,16.0,0.99997,0.6302356659246033,0.0013658009691255029
-0.675,6,200000,20,1.2759682981660334,0.0015610251756582284,0.007625163418501344,20.81423,0.03248852528288834,17.0,0.9999550000000001,0.6382829661519352,0.0013639026022704303
-0.6525,7,200000,20,1.2950249517240964,0.001559784916427843,0.007890540337858092,22.243965,0.035332133705626045,18.0,0.999945,0.6478112929309668,0.0013625119525776073
-0.63,8,200000,20,1.309226923998055,0.001550622888193517,0.007124056506364065,23.83294,0.038803540216785205,19.0,0.9999600000000001,0.6549122790679461,0.0013608921196900485
-0.6074999999999999,9,200000,20,1.3301251290156255,0.0015505424745768663,0.005046930666359906,25.594805,0.04247400652476791,20.0,0.999945,0.6653613815767314,0.0013609520333509476
-0.585,10,200000,20,1.349348071250495,0.001548720032383987,0.006419031345344615,27.632345,0.04680507694236826,22.0,0.999915,0.6749728526941661,0.0013605097343596662
-0.5624999999999999,11,200000,20,1.3615595889833847,0.0015513413973235065,0.004175848855696498,29.90218,0.05177784382304419,23.0,0.9998500000000001,0.6810786115606109,0.0013635937133617537
-0.5399999999999999,12,200000,20,1.3799890578964067,0.0015464045980200518,0.0063433199619383545,32.494085,0.05749434844455923,25.0,0.9998400000000001,0.690293346017122,0.0013629418268172034
0.0,13,200000,20,-0.007117336809405822,0.004499313921407596,0.018503675001837323,465.08304,1.027681223612302,324.0,0.49784000000000006,-0.0032598513357842956,0.0025101155939696277
0.5399999999999999,14,200000,20,-1.3808514962584222,0.001543475956322794,0.006132203632732334,32.42598,0.05716624393027082,25.0,0.000195,-0.6901269310602925,0.0013581274949681632
0.5624999999999999,15,200000,20,-1.3638322333585355,0.0015487452870016493,0.005948917108851639,29.83366,0.051711461257618004,23.0,0.00015999999999999999,-0.6816172996103491,0.0013623152600269084
0.585,16,200000,20,-1.3439573481289366,0.0015518480627783702,0.0065240447928656305,27.537335,0.04664420445133478,22.0,8.5e-05,-0.6716798569955498,0.0013614619300834612
0.6074999999999999,17,200000,20,-1.3292397525475357,0.0015525896224019907,0.006303103465276852,25.56545,0.04254550013909122,20.0,8e-05,-0.6643210592048493,0.0013609984549788478
0.63,18,200000,20,-1.30973303248756,0.0015557021259813865,0.006689116594638205,23.78986,0.03881973841697615,19.0,4.000000000000001e-05,-0.6545676991748615,0.0013626910734545995
0.6525,19,200000,20,-1.29451836166737,0.001560547569227017,0.0053129549248476194,22.18895,0.03541862097655779,18.0,4.000000000000001e-05,-0.6469603637647665,0.0013642749295223815
0.675,20,200000,20,-1.2807381024027062,0.0015645799681457135,0.0055537937983750835,20.802245,0.03245930156104971,17.0,4.4999999999999996e-05,-0.6400702341324345,0.0013652462315485818
0.6975,21,200000,20,-1.26091670863822,0.0015655872763564562,0.006492697547542419,19.52847,0.029761281490636112,16.0,1e-05,-0.6301595372501915,0.001367154429184117
0.72,22,200000,20,-1.2430395371302718,0.0015650457234165315,0.005328255649672013,18.38732,0.02752252175099545,15.0,1.5000000000000002e-05,-0.6212209514962174,0.0013646186428347938
0.7425,23,200000,20,-1.2266080396125887,0.001575019244871427,0.007992009184233581,17.35719,0.025417018051760776,14.0,2.5e-05,-0.6130052027373758,0.0013674722450798483
0.765,24,200000,20,-1.212440250336382,0.0015755035926774356,0.00666711864238536,16.427915,0.023532115025344896,14.0,1e-05,-0.6059213080992725,0.00136783971652704
0.7875000000000001,25,200000,20,-1.196726924357155,0.0015811417415246664,0.0060110261467875474,15.578205,0.021886005000363803,13.0,1e-05,-0.598064645109659,0.0013695765560799856
0.81,26,200000,20,-1.1822625735905032,0.0015837256145071193,0.007343551216855661,14.807745,0.020337522787916937,13.0,1e-05,-0.5908324697263331,0.001371352585152239
