e,e_index,n_paths,n_batches,F1,F1_se,F1_batch_sd,mean_tau,mean_tau_se,median_tau,alarm_up_proportion,F_rho_0.1,F_rho_0.1_se
-0.16999999999999998,0,200000,20,1.506880548433838,0.0024659755945853584,0.012583015018448346,231.97989,0.5032963341451429,164.0,0.945295,0.15125748387693547,0.002030545081124011
-0.16249999999999998,1,200000,20,1.4853597076958625,0.0025548860782886092,0.009733772194346511,242.92697,0.5286513824294006,170.0,0.9383250000000001,0.14706346634863277,0.0020284047216106546
-0.15499999999999997,2,200000,20,1.4671776997554848,0.0026420804044561446,0.012484790942193324,253.36525,0.5517526938922578,178.0,0.93108,0.14691442023912177,0.0020314832435796757
-0.1475,3,200000,20,1.4427102837337396,0.0027324818194932833,0.009394381543036817,265.751495,0.5776249700751822,187.0,0.9227299999999999,0.1444940872519134,0.002034233023291916
-0.13999999999999999,4,200000,20,1.416403070333598,0.002845321644490716,0.015039585378147886,279.25756,0.6076936211380846,195.0,0.9129700000000002,0.13743826659124284,0.002032771032944301
-0.1325,5,200000,20,1.3820937440826166,0.0029446567346240573,0.01381857612539199,291.716715,0.6387545865668233,204.0,0.9027799999999999,0.13842001421118716,0.0020343786507430396
-0.125,6,200000,20,1.344531750220427,0.003052549012227975,0.010481856299277824,305.089865,0.6646323547475278,214.0,0.8910750000000001,0.13306344717503635,0.0020374053610257544
-0.1175,7,200000,20,1.3095443652958794,0.0031598707877997013,0.012185817614344707,318.328545,0.6964520392626687,223.0,0.8791500000000001,0.13581960203215768,0.0020411286644892133
-0.11,8,200000,20,1.2568999185937328,0.003287273521500844,0.012037725901870393,331.77868,0.7254879552419558,232.0,0.8637699999999999,0.12358347047966803,0.002037562501732496
-0.10250000000000001,9,200000,20,1.214950896184654,0.0033895799642951825,0.013472798681437899,344.8604,0.7570036229976883,241.0,0.85093,0.12198961568243627,0.0020402308878872595
-0.09500000000000001,10,200000,20,1.1549905320732317,0.0035186699336162788,0.01396476216344296,358.025145,0.7862904539208361,250.0,0.8322200000000001,0.11506612091752161,0.002045129636783368
-0.08750000000000001,11,200000,20,1.0974208289450342,0.003630445870222862,0.016763305808905102,370.453235,0.8129094254121081,260.0,0.8155199999999999,0.1084048164739212,0.002043866030585435
-0.08000000000000002,12,200000,20,1.0255668670895886,0.0037513758658541205,0.015998930025631464,385.10038,0.8489611081457701,269.0,0.794105,0.10397555107736026,0.002046501894895562
0.0,13,200000,20,-0.003991969660153998,0.0044982942878151865,0.022066173309068418,464.278735,1.0235418458463483,324.0,0.499105,-0.0002133493793976895,0.0020645664978322176
0.08000000000000002,14,200000,20,-1.0216040728441969,0.0037610367709150308,0.02005694014941638,383.189575,0.8394658008196347,269.0,0.207,-0.10209635825212009,0.0020506162495486815
0.08750000000000001,15,200000,20,-1.0889966461049945,0.0036409302153858816,0.014956678744147337,369.950595,0.813006316252882,258.0,0.18695500000000004,-0.10872624042546915,0.0020423620602759663
0.09500000000000001,16,200000,20,-1.1516173704882662,0.0035174285183827377,0.015386335788476573,357.149645,0.7812395641435173,250.0,0.16801,-0.11384407876826597,0.002040804249310962
0.10250000000000001,17,200000,20,-1.212053521062068,0.0033965578476176637,0.013478405070083445,344.669875,0.755736846100099,241.0,0.15063000000000001,-0.11892617941520402,0.002040584337959215
0.11,18,200000,20,-1.2583932980024635,0.0032802788043168676,0.01832246477049643,332.396555,0.7271037056325965,233.0,0.135405,-0.12642071588041737,0.002040656197989888
0.1175,19,200000,20,-1.3064868182101113,0.0031582988231549985,0.009134591859640745,316.379115,0.6925640915173037,221.0,0.12065500000000003,-0.1339459354966681,0.0020377248799036234
0.125,20,200000,20,-1.3505720205010354,0.0030489192323629693,0.010397913894322418,303.84792,0.6636732137272388,213.0,0.10833999999999999,-0.133065843179978,0.002036066418565192
0.1325,21,200000,20,-1.3821578031531885,0.002950793443496238,0.012436293537320665,290.555095,0.6337061395000534,203.0,0.09772,-0.14144087561056734,0.0020354869897402836
0.13999999999999999,22,200000,20,-1.417357149691493,0.002832817349544635,0.014068893606271211,278.67208,0.6070623957355039,196.0,0.086075,-0.14129605031879655,0.002035250068535794
0.1475,23,200000,20,-1.4429905121399649,0.002733187466735775,0.012572366765153513,266.151575,0.5793316592643234,187.0,0.07735499999999998,-0.13990939835477992,0.0020350071415836083
0.15499999999999997,24,200000,20,-1.4652276911902908,0.002632028638403772,0.012886590146995957,253.47523,0.5493809497783622,178.0,0.06870000000000001,-0.1493115187317192,0.0020327709565550168
0.16249999999999998,25,200000,20,-1.4883938479157086,0.0025461070321802608,0.009871863007398594,242.923135,0.5287084022849761,170.0,0.061239999999999996,-0.15069562646997395,0.002026567574195559
0.16999999999999998,26,200000,20,-1.4999014942544564,0.0024674081842787025,0.008878935609637621,232.64994,0.5037422776791657,163.0,0.05477,-0.14945024564501183,0.0020265274933884687
