e,e_index,n_paths,n_batches,F1,F1_se,F1_batch_sd,mean_tau,mean_tau_se,median_tau,alarm_up_proportion,F_rho_0,F_rho_0_se,F_rho_0.02,F_rho_0.02_se,F_rho_0.05,F_rho_0.05_se,F_rho_0.1,F_rho_0.1_se,F_rho_0.25,F_rho_0.25_se,F_rho_0.5,F_rho_0.5_se,F_rho_1,F_rho_1_se
-0.15,0,20000,10,1.45216424325911,0.008406905187699655,0.03054475483389089,264.48125,1.8256973834588999,186.0,0.9276,-0.008110401282316607,0.007050177391383452,0.021095091608511925,0.006912133236344381,0.06490333094475473,0.00671312651805635,0.13791706317182606,0.006405139874459643,0.35695825985303997,0.005700628114717225,0.7220269209883967,0.005500580852714315,1.45216424325911,0.008406905187699655
-0.1375,1,20000,10,1.4094808750404084,0.009099818099103795,0.02936957989517254,282.54315,1.9579486446402588,196.0,0.9114000000000001,-0.008110401282316607,0.007050177391383452,0.0202414242441379,0.006910523335517627,0.06276916253381966,0.006710492174462987,0.1336487263499559,0.006404893423724672,0.3462874177983647,0.005744216816906106,0.7006852368790459,0.005739626881076696,1.4094808750404084,0.009099818099103795
-0.125,2,20000,10,1.3473645514995332,0.009538412684304417,0.03826050934943998,305.81335,2.115178036122515,215.0,0.8924999999999998,-0.008110401282316607,0.007050177391383452,0.018999097773320393,0.006910827862684277,0.05966334635677588,0.006712184274480493,0.12743709399586836,0.006411608094222313,0.3307583369131458,0.005789294000140995,0.6696270751086083,0.005915991223606355,1.3473645514995332,0.009538412684304417
-0.1125,3,20000,10,1.2721768309672417,0.010317179541917548,0.03670773302650308,329.1287,2.276108513519021,231.0,0.8666499999999999,-0.008110401282316607,0.007050177391383452,0.01749534336267456,0.006912249638162155,0.05590396033016132,0.0067174931786502965,0.11991832194263922,0.006428467214307621,0.31196140678007295,0.005883128051974322,0.6320332148424626,0.006247916390787898,1.2721768309672417,0.010317179541917548
-0.1,4,20000,10,1.1866308071518135,0.010868713175872105,0.0477763900104572,348.66785,2.4026908358091967,244.0,0.8417999999999999,-0.008110401282316607,0.007050177391383452,0.015784422886365997,0.006912874452540999,0.051626659139389915,0.006720381957794027,0.11136371956109642,0.006438962743153021,0.29057490082621595,0.005948059742245441,0.5892602029347483,0.0064813738246354835,1.1866308071518135,0.010868713175872105
-0.0875,5,20000,10,1.0909521029816727,0.011581644705736886,0.03889353162681997,371.34335,2.5616077577869163,259.0,0.8129500000000001,-0.008110401282316607,0.007050177391383452,0.013870848802963175,0.006912114383421368,0.04684272393088286,0.006720309984583094,0.10179584914408231,0.006445358650077182,0.2666552247836807,0.006018138786018941,0.5414208508496781,0.00676711959800579,1.0909521029816727,0.011581644705736886
-0.075,6,20000,10,0.9683998423125113,0.012197887122491181,0.052748007496833046,389.51525,2.6905259197521434,274.0,0.77605,-0.008110401282316607,0.007050177391383452,0.01141980358957995,0.006914545208741714,0.04071511089742479,0.0067280345637091895,0.08954062307716619,0.0064665759706822624,0.2360171596163904,0.00611549826170495,0.48014472051509727,0.007057714436634132,0.9683998423125113,0.012197887122491181
-0.0625,7,20000,10,0.8418101714964905,0.012698191471115661,0.04473420239149987,415.8671,2.887612744508448,291.0,0.7387499999999999,-0.008110401282316607,0.007050177391383452,0.008888010173259537,0.006913825396863367,0.034385627356623746,0.006727658657974857,0.0768816559955641,0.0064709023284612345,0.20436974191238516,0.0061672450633435795,0.4168498851070869,0.007261867944474035,0.8418101714964905,0.012698191471115661
-0.05,8,20000,10,0.6845318098803764,0.013235038960921238,0.03509454987353076,436.0368,3.0596309711094194,302.5,0.69545,-0.008110401282316607,0.007050177391383452,0.005742442940937251,0.006915893818397711,0.026521709275818046,0.006734391249689504,0.0611538198339527,0.006489805861970847,0.16505015150835667,0.006255032070432549,0.33821070429902994,0.007517254176939626,0.6845318098803764,0.013235038960921238
-0.0375,9,20000,10,0.5537880300620234,0.013613276944663012,0.022132744228681594,446.5372,3.1033902860213,309.0,0.65735,-0.008110401282316607,0.007050177391383452,0.0031275673445701957,0.006911980468086143,0.0199845202849004,0.006725803073761496,0.048079441852117405,0.00647703628243396,0.1323642065537684,0.006261277244637213,0.27283881438985347,0.007635826164599179,0.5537880300620234,0.013613276944663012
-0.025,10,20000,10,0.36443923881251533,0.013952682267252128,0.025988002687492885,456.00385,3.184685499832835,318.0,0.6042500000000001,-0.008110401282316607,0.007050177391383452,-0.0006594084804199667,0.006915949770389714,0.01051708072242499,0.006736747359131641,0.02914456272716659,0.006502338656927675,0.08502700874139138,0.006346464597088627,0.17816441876509936,0.007829253282378035,0.36443923881251533,0.013952682267252128
-0.0125,11,20000,10,0.20704934297308875,0.01411157602737655,0.053067350895172144,463.08255,3.2071001062220432,325.0,0.5566000000000001,-0.008110401282316607,0.007050177391383452,-0.0038072063972085005,0.006916547970141781,0.002647585930453662,0.006738741987426848,0.013405573143223926,0.006508056970341595,0.045679534781534734,0.00637325734576294,0.09946947084538606,0.007905365770465396,0.20704934297308875,0.01411157602737655
0.0,12,20000,10,-0.001880914503081177,0.014244893784519352,0.0315402813798961,463.4313,3.223913121473071,323.0,0.4969,-0.008110401282316607,0.007050177391383452,-0.007985811546731895,0.006915156434487615,-0.0077989269433548355,0.006735709663096303,-0.007487452604393065,0.006503636337010985,-0.00655302958750775,0.006376213104798872,-0.004995657892698893,0.007948278048785009,-0.001880914503081177,0.014244893784519352
0.0125,13,20000,10,-0.17751289212593788,0.014109549208548459,0.052624578170171625,456.5963,3.1925443275355887,317.0,0.4495,-0.008110401282316607,0.007050177391383452,-0.011498451099189032,0.006914396737161235,-0.01658052582449767,0.006733383185477372,-0.025050650366678737,0.00649751606353164,-0.05046102399322193,0.006350623640346037,-0.09281164670412724,0.007880437171556568,-0.17751289212593788,0.014109549208548459
0.025,14,20000,10,-0.3774859731488781,0.013960425181257017,0.04230558127241917,455.6598,3.188064909328432,317.0,0.39365,-0.008110401282316607,0.007050177391383452,-0.015497912719647835,0.006916552983956222,-0.02657917987564468,0.006738272560945037,-0.04504795846897276,0.006505419771037223,-0.10045429424895697,0.006353748097784049,-0.19279818721559733,0.00783942373107772,-0.3774859731488781,0.013960425181257017
0.0375,15,20000,10,-0.5683788826425609,0.013594373092235379,0.03679563540681095,443.7956,3.0719413425735542,313.0,0.34115,-0.008110401282316607,0.007050177391383452,-0.019315770909521496,0.006915951340253483,-0.03612382535032883,0.00673562988194033,-0.06413724941834105,0.006496147575926413,-0.1481775216223777,0.006300689818161168,-0.2882446419624388,0.00767334687406576,-0.5683788826425609,0.013594373092235379
0.05,16,20000,10,-0.7052645360473222,0.013192973665632768,0.0470270779271758,433.62125,2.9629379102463274,308.0,0.2984,-0.008110401282316607,0.007050177391383452,-0.02205348397761672,0.006913700525371495,-0.042968108020566886,0.006728804826298817,-0.07782581475881716,0.006478365827464953,-0.182398934973568,0.006226558406388633,-0.3566874686648193,0.007473283382573644,-0.7052645360473222,0.013192973665632768
0.0625,17,20000,10,-0.8534762670118092,0.012667570298238822,0.043600228835651796,410.3435,2.822080304004408,288.5,0.2559,-0.008110401282316607,0.007050177391383452,-0.025017718596906463,0.006911996438008751,-0.05037869456879124,0.006723014221120101,-0.09264698785526589,0.006461433522619187,-0.2194518677146898,0.0061438941976054,-0.43079333414706306,0.00722647702090322,-0.8534762670118092,0.012667570298238822
0.075,18,20000,10,-0.9704671883955484,0.01219412981193549,0.05484597273116504,390.3832,2.7167027158985078,273.0,0.22319999999999998,-0.008110401282316607,0.007050177391383452,-0.027357537024581245,0.006912823101794794,-0.056228240637978204,0.0067237341304923915,-0.10434607999363979,0.006458058134423224,-0.24869959806062453,0.006096404375738362,-0.4892887948389325,0.007034569029923884,-0.9704671883955484,0.01219412981193549
0.0875,19,20000,10,-1.094949906218045,0.01146837631781742,0.03864558599912802,367.9228,2.5862871952048954,254.0,0.18480000000000002,-0.008110401282316607,0.007050177391383452,-0.029847191381031177,0.006911962675563883,-0.06245237652910303,0.006719634480833278,-0.11679435177588945,0.00644295778831542,-0.2798202775162487,0.00600372757376089,-0.5515301537501809,0.0067177204697308705,-1.094949906218045,0.01146837631781742
0.1,20,20000,10,-1.2058399611098725,0.010845714466269306,0.039236079294031743,354.6469,2.4662564155121527,247.0,0.15275,-0.008110401282316607,0.007050177391383452,-0.032064992478867724,0.00691339869951542,-0.0679968792736944,0.006721631907253988,-0.12788335726507222,0.00644123030390917,-0.3075427912392056,0.005951424479114312,-0.6069751811960946,0.006479070730420228,-1.2058399611098725,0.010845714466269306
0.1125,21,20000,10,-1.2736099752677963,0.01020873236491849,0.024222976396620848,329.99645,2.273494587799125,231.0,0.13015,-0.008110401282316607,0.007050177391383452,-0.0334203927620262,0.006911567124599113,-0.07138537998159059,0.006715537372622431,-0.13466035868086457,0.006423682414916657,-0.3244852947786865,0.005864327082505928,-0.6408601882750565,0.00619443123288317,-1.2736099752677963,0.01020873236491849
0.125,22,20000,10,-1.3422679407036495,0.009689376737373183,0.028108345229209786,306.5427,2.1375982644436506,213.0,0.10969999999999999,-0.008110401282316607,0.007050177391383452,-0.03479355207074326,0.006915284207715371,-0.07481827825338326,0.006723628493122501,-0.1415261552244499,0.006435474729425248,-0.34164978613764985,0.0058545414617734584,-0.675189170992983,0.006041167983508673,-1.3422679407036495,0.009689376737373183
0.1375,23,20000,10,-1.4102178736595055,0.009038836861885504,0.021748477292453414,284.8543,1.9654550857906197,199.0,0.08745,-0.008110401282316607,0.007050177391383452,-0.03615255072986038,0.006911946507202437,-0.07821577490117605,0.006713917341217031,-0.1483211485200355,0.006411236986055802,-0.35863726937661383,0.00575493817891414,-0.709164137470911,0.005737886887621693,-1.4102178736595055,0.009038836861885504
0.15,24,20000,10,-1.454882406421191,0.008499932714800644,0.024835187419852408,264.0988,1.8141147986147754,184.0,0.0719,-0.008110401282316607,0.007050177391383452,-0.03704584138509409,0.006912725016429961,-0.08044900153926032,0.006714782354465879,-0.15278760179620404,0.0064090734968953456,-0.3698034025670352,0.0057155671081892175,-0.7314964038517537,0.005544900229819749,-1.454882406421191,0.008499932714800644
