e,e_index,n_paths,n_batches,F1,F1_se,F1_batch_sd,mean_tau,mean_tau_se,median_tau,alarm_up_proportion,F_rho_0.5,F_rho_0.5_se
-0.8025,0,20000,10,1.1851670647406753,0.005044263030333984,0.015973192800778586,15.0115,0.0649533627648848,13.0,1.0,0.5885283317291793,0.00430625550954044
-0.777,1,20000,10,1.2068318599436032,0.0050358902871208075,0.011809096744128736,15.8929,0.07073426783626388,13.0,1.0,0.5993607293306433,0.0043558206656725915
-0.7515000000000001,2,20000,10,1.2306919096562503,0.004987388118898074,0.0185057376743441,16.94055,0.07752710047099899,14.0,1.0,0.6112907541869669,0.004311649563249749
-0.726,3,20000,10,1.2327921275399512,0.004980962280463418,0.01440091763700392,18.04135,0.08456012375583115,15.0,0.9999500000000001,0.6123408631288172,0.004327002401795339
-0.7005,4,20000,10,1.2571760551070434,0.004950166808500233,0.012607727459935233,19.3335,0.09351091434723062,16.0,1.0,0.6245328269123634,0.004295646513901492
-0.675,5,20000,10,1.2788095192216375,0.004945887774764386,0.011635875820244251,20.7363,0.10243670133008467,17.0,0.9999500000000001,0.6353495589696605,0.004309312011435182
-0.6495,6,20000,10,1.2945455124978436,0.0049605306940407445,0.01221495898775598,22.3966,0.11247543268708908,18.0,0.9998000000000001,0.6432175556077635,0.0043193851129486776
-0.624,7,20000,10,1.3136136851783204,0.004898608928980142,0.009250481411122035,24.35515,0.12713022468546348,19.0,0.9999499999999999,0.652751641948002,0.0042878261817651765
-0.5985,8,20000,10,1.3347364040182959,0.004927785790383177,0.016365339198519166,26.38145,0.14067251591093277,21.0,0.9997999999999999,0.6633130013679895,0.004290513961696554
-0.573,9,20000,10,1.346524473257663,0.004875657928850444,0.013616431907846933,28.75485,0.1578772746014029,22.0,0.9999,0.6692070359876731,0.004285817055029528
-0.5475,10,20000,10,1.3726545705476971,0.00488389133914492,0.014619284136736412,31.5733,0.17695402507953753,24.0,1.0,0.6822720846326902,0.00430081712161687
0.0,11,20000,10,-0.001880914503081177,0.014244893784519352,0.0315402813798961,463.4313,3.223913121473071,323.0,0.4969,-0.004995657892698893,0.007948278048785009
0.5475,12,20000,10,-1.3708186203779877,0.004909013169284637,0.012367112634191577,31.6625,0.17396557960885375,25.0,0.00015000000000000001,-0.6894645108301521,0.0042940387172875245
0.573,13,20000,10,-1.3557443566850553,0.004851374768327235,0.010082755485280504,28.92575,0.15534396812974977,23.0,0.0001,-0.681927378983686,0.004283474119108513
0.5985,14,20000,10,-1.3303926616101391,0.004903586337926068,0.01448311194418116,26.46275,0.1385823252616247,21.0,5e-05,-0.669251531446228,0.004290237321380088
0.624,15,20000,10,-1.3126340817877733,0.004913538887704456,0.01916684866247475,24.4102,0.12559229860653662,19.0,5e-05,-0.660372241535045,0.004326621017251639
0.6495,16,20000,10,-1.2922026685615373,0.004914430283009324,0.012640139938627807,22.5292,0.1129842052657449,18.0,5e-05,-0.6501565349219268,0.004284558372072834
0.675,17,20000,10,-1.2703970413813523,0.004936433579652201,0.014546232723070188,20.932,0.1029878348384227,17.0,0.0,-0.6392537213318344,0.0043164834912104745
0.7005,18,20000,10,-1.253302803260308,0.0049408245360326375,0.015316433605212823,19.47295,0.09442975835952454,16.0,5e-05,-0.6307066022713124,0.004323210842858432
0.726,19,20000,10,-1.2433657440463666,0.004979166308741118,0.013614175182333186,18.2481,0.08534413571285979,15.0,0.0,-0.6257380726643416,0.004330879982212634
0.7515000000000001,20,20000,10,-1.2193655798151337,0.0049631114622299514,0.015388168673814758,17.08965,0.07878471295514614,14.0,5e-05,-0.613737990548725,0.004297783347051259
0.777,21,20000,10,-1.2016095113174896,0.0050096103781630125,0.016983089216196432,16.09245,0.07243723150079918,13.0,0.0,-0.6048599562999031,0.004329862026610579
0.8025,22,20000,10,-1.1757071602294396,0.005030822356643879,0.01852901130353404,15.1552,0.066669092437158,13.0,0.0001,-0.5919087807558782,0.00431896140997366
