e,e_index,n_paths,n_batches,F1,F1_se,F1_batch_sd,mean_tau,mean_tau_se,median_tau,alarm_up_proportion,F_rho_1,F_rho_1_se
-1.3375,0,20000,10,0.8661723709732949,0.005421395592099782,0.01601795555132025,6.70115,0.02003676639269355,6.0,1.0,0.8661723709732949,0.005421395592099782
-1.295,1,20000,10,0.8914386064213533,0.0053985487344743776,0.01168777598588124,7.0169,0.02140090230413128,6.0,1.0,0.8914386064213533,0.0053985487344743776
-1.2525,2,20000,10,0.9172229705059488,0.005369871890915347,0.024468632818954505,7.3936,0.023376725082093472,7.0,1.0,0.9172229705059488,0.005369871890915347
-1.21,3,20000,10,0.9434751723872247,0.005303202304068232,0.01670949210494132,7.75795,0.025048142852275843,7.0,1.0,0.9434751723872247,0.005303202304068232
-1.1675,4,20000,10,0.9609794764036489,0.005295687333494729,0.016358112711924104,8.18425,0.026845039200595035,7.0,1.0,0.9609794764036489,0.005295687333494729
-1.125,5,20000,10,0.9768806691660682,0.005215204317052952,0.015898596034433474,8.6023,0.029335639834307765,8.0,1.0,0.9768806691660682,0.005215204317052952
-1.0825,6,20000,10,1.0083987417097917,0.00516783920675669,0.01771952574809354,9.1625,0.031854912090150456,8.0,1.0,1.0083987417097917,0.00516783920675669
-1.04,7,20000,10,1.0372782371008182,0.005147428364398479,0.01286749745201286,9.8103,0.03521154197325653,9.0,1.0,1.0372782371008182,0.005147428364398479
-0.9974999999999999,8,20000,10,1.0609389311523985,0.005180500853479733,0.015237914567578182,10.43845,0.039316572453845414,9.0,1.0,1.0609389311523985,0.005180500853479733
-0.955,9,20000,10,1.0931337802547128,0.005082191888893274,0.018610683744577076,11.1752,0.04347924528138123,10.0,1.0,1.0931337802547128,0.005082191888893274
-0.9125,10,20000,10,1.1097485180357465,0.005107633866780705,0.014577440200800122,11.971,0.04790571675577868,10.0,1.0,1.1097485180357465,0.005107633866780705
0.0,11,20000,10,0.001180151950177364,0.014202033158736945,0.03745950147855079,468.12355,3.261638188618343,325.0,0.5017500000000001,0.001180151950177364,0.014202033158736945
0.9125,12,20000,10,-1.1174973701707245,0.0051074862513722525,0.022987697462534887,12.05425,0.04812292735985503,10.0,0.0,-1.1174973701707245,0.0051074862513722525
0.955,13,20000,10,-1.0913208102663867,0.005122540953258931,0.01650504721764171,11.15355,0.04283229330940041,10.0,0.0,-1.0913208102663867,0.005122540953258931
0.9974999999999999,14,20000,10,-1.0605591780847772,0.005116430837117182,0.01765005573010098,10.4347,0.039172484216296315,9.0,0.0,-1.0605591780847772,0.005116430837117182
1.04,15,20000,10,-1.0296030844395263,0.005151232993078459,0.017411886692770936,9.7727,0.03553385524036777,9.0,0.0,-1.0296030844395263,0.005151232993078459
1.0825,16,20000,10,-1.012698021334486,0.005173709827789522,0.012857484109549566,9.1498,0.03195049357524833,8.0,0.0,-1.012698021334486,0.005173709827789522
1.125,17,20000,10,-0.9778809599450906,0.005206024378379096,0.017200359813850142,8.5943,0.028830833084508976,8.0,0.0,-0.9778809599450906,0.005206024378379096
1.1675,18,20000,10,-0.9613464247906548,0.005268742362187698,0.01751587897919587,8.1154,0.026729475588631778,7.0,0.0,-0.9613464247906548,0.005268742362187698
1.21,19,20000,10,-0.9451557310505064,0.005323640788131874,0.011973492426766342,7.72145,0.024700172060129255,7.0,0.0,-0.9451557310505064,0.005323640788131874
1.2525,20,20000,10,-0.9186013809773363,0.005405294885349144,0.015618641264092993,7.37585,0.023326841748344276,7.0,0.0,-0.9186013809773363,0.005405294885349144
1.295,21,20000,10,-0.8996580184096165,0.005364718382560767,0.017269932295434838,6.9957,0.021521552786955642,6.0,0.0,-0.8996580184096165,0.005364718382560767
1.3375,22,20000,10,-0.8740152591207297,0.005420912066186786,0.0197621526317111,6.7391,0.02019175437764738,6.0,0.0,-0.8740152591207297,0.005420912066186786
