e,e_index,n_paths,n_batches,F1,F1_se,F1_batch_sd,mean_tau,mean_tau_se,median_tau,alarm_up_proportion,F_rho_0,F_rho_0_se,F_rho_0.02,F_rho_0.02_se,F_rho_0.05,F_rho_0.05_se,F_rho_0.1,F_rho_0.1_se,F_rho_0.25,F_rho_0.25_se,F_rho_0.5,F_rho_0.5_se,F_rho_1,F_rho_1_se
-0.15,0,20000,10,1.4421449609103232,0.008540384036188734,0.022803688156802122,263.276,1.8035978485959592,186.0,0.9262499999999999,0.009733030307531818,0.007109235370803678,0.03838126891958765,0.006968453272506761,0.08135362683767139,0.006765535248640547,0.15297422336781097,0.006451632367642616,0.3678360129582297,0.0057354999266053365,0.7259389956089275,0.005545000031227046,1.4421449609103232,0.008540384036188734
-0.1375,1,20000,10,1.4135425180738364,0.009017844441132461,0.02053437203689993,280.0817,1.8956572269457375,200.0,0.91135,0.001207252167058266,0.007071427401094089,0.029453957485193825,0.006931565655839369,0.07182401546239717,0.006731024817362743,0.1424407787577361,0.006423993729456418,0.35429106864375276,0.005753871819507482,0.7073748851204473,0.005717846174044461,1.4135425180738364,0.009017844441132461
-0.125,2,20000,10,1.3491124183959453,0.009581429890753876,0.026284632521243016,300.5747,2.086101474512589,210.0,0.8929500000000001,0.00200752079517816,0.007060107501287648,0.028949618747193505,0.006924369094332124,0.06936276567521651,0.006731198757316168,0.1367180105552549,0.0064398193209961535,0.3387837451953699,0.005843619237404273,0.6755599695955616,0.0059923775372872365,1.3491124183959453,0.009581429890753876
-0.1125,3,20000,10,1.2730780858370645,0.010249758943272727,0.03184213615995781,324.2123,2.245224025121246,225.0,0.86995,-0.015950207135535067,0.007094444114848,0.009830358723916924,0.006954637159486158,0.04850120751309491,0.006756835231423011,0.11295262216172491,0.006462103749176499,0.3063068661076149,0.0058951113029721116,0.6285639393507647,0.006219362838406779,1.2730780858370645,0.010249758943272727
-0.1,4,20000,10,1.1933032865510569,0.010951368714374157,0.033899911919102285,344.93765,2.3996623318894743,239.0,0.8423999999999999,0.003973464598593626,0.007100859204826414,0.027760061037642902,0.006961315425266724,0.0634399556962168,0.006765578128422249,0.12290644679383997,0.006479129692028423,0.3013059200867095,0.005977350011925762,0.5986383755748252,0.006512751309270405,1.1933032865510569,0.010951368714374157
-0.0875,5,20000,10,1.0757629498635997,0.011539141492557619,0.049065957634499745,367.62605,2.5298498794573767,258.0,0.8098000000000001,0.008003804121728382,0.007099294172857731,0.02935898703656581,0.0069603286977849765,0.06139176140882196,0.006766953445372641,0.11477971869591552,0.006488756594101402,0.27494359055719625,0.006046867280994728,0.5418833769926641,0.006763488799412454,1.0757629498635997,0.011539141492557619
-0.075,6,20000,10,0.9817405256772488,0.012136194931801103,0.02620746373380176,390.261,2.710191658516293,275.0,0.7787499999999998,-0.0008382766350847404,0.007094453766023988,0.018813299411161933,0.0069575092796383,0.04829066348053194,0.006768759109592392,0.09741960359614864,0.006502807203860414,0.24480642394299867,0.006132794019038199,0.4904511245210821,0.007037787348159986,0.9817405256772488,0.012136194931801103
-0.0625,7,20000,10,0.8608509581458018,0.012687913275905167,0.035350286088067534,410.56705,2.8325827201439675,288.0,0.744,0.005519171314362867,0.007077340465182547,0.022625807050991646,0.006942129393425059,0.04828576065593482,0.0067575576943228344,0.09105234999750678,0.006503059272848621,0.21935211802222263,0.006201733430337016,0.4331850647300824,0.007284788711695047,0.8608509581458018,0.012687913275905167
-0.05,8,20000,10,0.7065715260006642,0.013167460058462048,0.033304277617498025,432.1473,3.064066898818223,298.0,0.69955,-0.006235734809127663,0.007057679244245371,0.008020410407068175,0.006921628850824502,0.02940462823136194,0.006737269682634867,0.06504499127185152,0.006487403987381623,0.17196608039332031,0.0062343468939895785,0.3501678955957683,0.007470900715487365,0.7065715260006642,0.013167460058462048
-0.0375,9,20000,10,0.5347184209600254,0.013641950392897832,0.0540803963935482,445.10215,3.1188131774042915,309.0,0.6538,0.0014301889990677153,0.007071134981827665,0.012095953638286873,0.006936664492822813,0.028094600597115608,0.0067560591902145134,0.05475901219516349,0.006516336254161939,0.13475224698930716,0.006321949433140397,0.26807430497954665,0.0077010423299931526,0.5347184209600254,0.013641950392897832
