e,e_index,n_paths,n_batches,F1,F1_se,F1_batch_sd,mean_tau,mean_tau_se,median_tau,alarm_up_proportion,F_rho_0,F_rho_0_se
-0.016875,0,20000,10,0.24247849397677182,0.014076758953005124,0.06653294082493148,461.09985,3.212976730381403,324.0,0.56975,0.009733030307531818,0.007109235370803678
-0.015287499999999999,1,20000,10,0.2352338663724605,0.014130689159790214,0.058391134313466334,459.27825,3.14680942731292,321.0,0.5652,0.001207252167058266,0.007071427401094089
-0.0137,2,20000,10,0.21327382172107892,0.014094779645727907,0.043415955343754774,461.634,3.219433908303523,323.0,0.5617000000000001,0.00200752079517816,0.007060107501287648
-0.012112499999999998,3,20000,10,0.18169903653490038,0.014152559220826288,0.04451233717131473,461.81105,3.21666362534829,323.0,0.55135,-0.015950207135535067,0.007094444114848
-0.010525,4,20000,10,0.16444130020855996,0.014187500263078516,0.03310340460112302,466.63095,3.2473254546988835,325.0,0.5466,0.003973464598593626,0.007100859204826414
-0.008937500000000001,5,20000,10,0.12837751567643874,0.014254577288800776,0.05308787281353624,461.7076,3.2264820787418333,323.0,0.5384500000000001,0.008003804121728382,0.007099294172857731
-0.00735,6,20000,10,0.12849388152506977,0.014174848750173451,0.05180988122540436,466.90615,3.2721252180014426,324.0,0.5343,-0.0008382766350847404,0.007094453766023988
-0.005762499999999999,7,20000,10,0.08765019042884102,0.014200679881977232,0.04036725972520719,461.63075,3.1933442998857413,325.0,0.5238499999999999,0.005519171314362867,0.007077340465182547
-0.004175,8,20000,10,0.050685136207635206,0.014219186431263922,0.023186606167531425,461.79355,3.2239117662823396,322.0,0.515,-0.006235734809127663,0.007057679244245371
-0.0025875,9,20000,10,0.02848421266352434,0.014223947238419085,0.03706815303683354,466.85645,3.2447555515168363,323.0,0.5086999999999999,0.0014301889990677153,0.007071134981827665
-0.001,10,20000,10,0.013144389254565403,0.014274264055885716,0.052744605200048866,461.5477,3.2104257627165893,322.5,0.50315,0.006311558894799953,0.007092108620075375
0.0,11,20000,10,0.001180151950177364,0.014202033158736945,0.03745950147855079,468.12355,3.261638188618343,325.0,0.5017500000000001,0.0013265141100659698,0.00708114997172607
0.001,12,20000,10,-0.02437787937787969,0.014249942160788086,0.03423908685173001,462.6582,3.2213131338870684,323.0,0.4937,0.005146831627447082,0.007080623513888911
0.0025875,13,20000,10,-0.025412306332175255,0.014217538509516448,0.027004179812202926,465.81905,3.2484828731892286,325.0,0.4923,0.015604571163079482,0.00706613324163565
0.004175,14,20000,10,-0.05191665861212427,0.014233509258521718,0.022801943865382986,465.84385,3.2487641714644298,323.0,0.4849,0.009250998455178948,0.007021051243887173
0.005762499999999999,15,20000,10,-0.08673613298714801,0.014192034126025039,0.04066565918699637,465.34895,3.2972811515466027,320.0,0.4765,-0.007000289789325403,0.007046603220016698
0.00735,16,20000,10,-0.1295203529608938,0.014208769145302625,0.020665524062710217,461.77975,3.1997220657522396,325.0,0.46485000000000004,-0.0007576831360556294,0.007076391823845137
0.008937500000000001,17,20000,10,-0.13447449573091977,0.014202291535577189,0.02479359744852038,459.6375,3.215466841072662,319.0,0.462,-0.002834830617697962,0.007062478600965838
0.010525,18,20000,10,-0.14818159111878143,0.014127633543759496,0.04763356907111328,466.04955,3.287890979198433,324.0,0.4568499999999999,-0.0026421361407730957,0.007035052834908155
0.012112499999999998,19,20000,10,-0.18420226972451978,0.014153487621078908,0.04475671119661574,466.26705,3.2355878713393853,327.0,0.44909999999999994,-0.01087579587120657,0.0071287693544153175
0.0137,20,20000,10,-0.2052893150068557,0.014168861142136622,0.03932185525064526,461.9964,3.2353615551544816,319.0,0.4438000000000001,-0.007625222303665032,0.00702674481205265
0.015287499999999999,21,20000,10,-0.22366389654550461,0.014130551898512308,0.058506668508424835,459.4478,3.2289286215028254,320.0,0.4385,-0.019647600524045787,0.007085552008830425
0.016875,22,20000,10,-0.2637558164929461,0.014045061347357618,0.047005181428320914,463.3662,3.2064350813909455,325.0,0.42725,-0.001475925964681851,0.007113856307988542
