e,e_index,n_paths,n_batches,F1,F1_se,F1_batch_sd,mean_tau,mean_tau_se,median_tau,alarm_up_proportion,F_rho_0.5,F_rho_0.5_se
-0.8025,0,20000,10,1.182400006762896,0.004997271580590333,0.018101698128437208,15.1,0.06725735036082582,13.0,0.9999500000000001,0.596066518535214,0.004348227091642152
-0.777,1,20000,10,1.204117844583911,0.0049971652885407395,0.019665070462593626,15.9926,0.07152316436059025,13.0,1.0,0.6026625483754846,0.004321072882290952
-0.7515000000000001,2,20000,10,1.2328060223534822,0.00501439540537889,0.015623364559518507,16.8517,0.076512306605886,14.0,0.9999500000000001,0.6174067715743302,0.0043324926003970535
-0.726,3,20000,10,1.244386549667641,0.004981196780832567,0.01500145926511741,18.16655,0.08579955497003847,15.0,1.0,0.6142181712660529,0.004320384465787179
-0.7005,4,20000,10,1.2544445959888693,0.00494145523876626,0.012889808920095646,19.386,0.09426992914486065,16.0,0.9999500000000001,0.6292090302937314,0.004316293932719763
-0.675,5,20000,10,1.273471427597522,0.004880407576188387,0.014650090289277396,20.8889,0.10293239331415387,17.0,0.9999500000000001,0.6407376158596251,0.004297250080183968
-0.6495,6,20000,10,1.2913709059508445,0.004912925323265845,0.008952960592373315,22.42995,0.11366794037858034,18.0,0.9999500000000001,0.6452663146578799,0.004303611870600485
-0.624,7,20000,10,1.3160595770438006,0.004890769675788552,0.02411200808522203,24.4691,0.12632301902169982,19.0,1.0,0.6607893741790817,0.0042960258821522195
-0.5985,8,20000,10,1.3409540316878437,0.004923588129260157,0.016828005874244642,26.34485,0.13904793468542426,21.0,0.9999,0.667359148439358,0.004304511393608651
-0.573,9,20000,10,1.3479948326262052,0.004880604701465942,0.017519335231688915,28.82755,0.1561619347900405,22.0,0.99985,0.6747125108126365,0.004292276794165552
-0.5475,10,20000,10,1.3712977426534105,0.004841618374070105,0.014854383554258523,31.27525,0.17492756888093064,24.0,0.99975,0.6888046507741052,0.004285255273824211
0.0,11,20000,10,0.001180151950177364,0.014202033158736945,0.03745950147855079,468.12355,3.261638188618343,325.0,0.5017500000000001,0.0012533330301216679,0.007965068650471249
0.5475,12,20000,10,-1.3666007908627928,0.004872265481035229,0.01292024054308225,31.7012,0.17694998302578227,24.0,0.00015000000000000001,-0.6807269796176729,0.004303885178238412
0.573,13,20000,10,-1.3554907882916392,0.00492421498786605,0.020358897178456046,28.9339,0.15717748495757553,23.0,0.0002,-0.66994310856428,0.004311971219486652
0.5985,14,20000,10,-1.3280709929750707,0.004920881911736785,0.012414573410963529,26.407,0.13949215194061151,21.0,0.0,-0.6594099972599459,0.004284987026042826
0.624,15,20000,10,-1.3183068135590204,0.004930471264674798,0.01943984957025394,24.2652,0.12591106435816668,19.0,5e-05,-0.6626535516741728,0.004276740073127423
0.6495,16,20000,10,-1.2912211320269562,0.004902392017237504,0.01797428996460968,22.30885,0.11206445023255723,18.0,0.0,-0.6459894075815059,0.004333072439165472
0.675,17,20000,10,-1.2691671682729933,0.004934651990124577,0.020107478077504192,20.74555,0.10187175345787775,17.0,0.0,-0.6360009994453456,0.004276651201993136
0.7005,18,20000,10,-1.2611904066271362,0.00488582312058037,0.017467900165925147,19.42895,0.09414712305171063,16.0,0.0,-0.6319162713839549,0.004295854553820559
0.726,19,20000,10,-1.2451593580442164,0.004997627959437794,0.00851349471129747,18.05995,0.08515979338511497,15.0,0.0001,-0.6280175769577115,0.004378269742734444
0.7515000000000001,20,20000,10,-1.22263884719175,0.005003303213607936,0.012567999907950043,16.8777,0.07668028513774867,14.0,0.0,-0.6151320347477074,0.004325005458944808
0.777,21,20000,10,-1.2014647816588377,0.0050008395604024475,0.01668537974103232,15.8869,0.07082962841433707,13.0,0.0,-0.6105561910914418,0.004305787136218378
0.8025,22,20000,10,-1.1848183815713114,0.005004095067598385,0.008545111424904366,15.12085,0.06642490404410731,13.0,0.0,-0.5931471537679965,0.00435576493696107
