e,e_index,n_paths,n_batches,F1,F1_se,F1_batch_sd,mean_tau,mean_tau_se,median_tau,alarm_up_proportion,F_rho_0.25,F_rho_0.25_se
-0.41750000000000004,0,20000,10,1.488872987412907,0.0050112079425192755,0.013419892364543594,54.8772,0.3378742576147196,40.0,0.9984999999999999,0.37951801958387554,0.005471186014743523
-0.40900000000000003,1,20000,10,1.4834379741896477,0.004932113367935347,0.015064039103389073,57.663,0.3557329881356836,43.0,0.999,0.3717649326727056,0.005446631976805827
-0.4005,2,20000,10,1.4936512910007913,0.004969926777753029,0.016375009612389996,59.40825,0.3669618742427235,44.0,0.9986500000000001,0.3749184633465814,0.005425385875495735
-0.392,3,20000,10,1.4903540935059192,0.004991118195159012,0.021001903985559997,62.16935,0.3878169782633381,46.0,0.9978999999999999,0.36062586802482854,0.0054686028099760215
-0.3835,4,20000,10,1.5056194795837659,0.0049743065927411656,0.01918006321569173,65.13075,0.41040880776531774,48.0,0.998,0.3793849683448867,0.005461307484776721
-0.375,5,20000,10,1.5249948562686169,0.004960624927179217,0.014664446390544107,68.6918,0.4300947857324426,50.0,0.9986500000000001,0.3872515671584505,0.0054527636204478435
-0.3665,6,20000,10,1.515669779314368,0.005006086390790539,0.0195526560568436,71.16165,0.4494862098624582,52.0,0.9978,0.37828873735227847,0.005476324915138997
-0.358,7,20000,10,1.529144235627652,0.00504921885130901,0.012929198714655107,74.59855,0.47556514012803786,55.0,0.9974500000000001,0.38642543739268514,0.005449829019856367
-0.3495,8,20000,10,1.5334912618026546,0.005070578019922121,0.011025935066236158,77.3763,0.497714125661553,56.0,0.9971500000000001,0.37869601434381794,0.005453990557018486
-0.34099999999999997,9,20000,10,1.5293322423917914,0.005148284662141111,0.020609069313954186,81.1841,0.5258798463909241,58.0,0.99555,0.38340570234724863,0.005463262272974693
-0.33249999999999996,10,20000,10,1.544031352507225,0.0051732614044305205,0.020807959163840387,85.0856,0.5496118696792898,61.0,0.99555,0.3907415072979062,0.005473898367968007
0.0,11,20000,10,0.001180151950177364,0.014202033158736945,0.03745950147855079,468.12355,3.261638188618343,325.0,0.5017500000000001,0.0012899235700938164,0.006416621195815248
0.33249999999999996,12,20000,10,-1.5374933057394042,0.005167954748849078,0.012422894250218093,86.6387,0.5572805184055062,62.0,0.0049,-0.3805132027142658,0.005465157570195853
0.34099999999999997,13,20000,10,-1.543712610299177,0.005058592404572118,0.010718647316701286,81.76725,0.529413262765502,59.0,0.00355,-0.3742247242024846,0.005446144447755146
0.3495,14,20000,10,-1.529281247542662,0.005074567133743941,0.014048959731909023,78.96515,0.5041864258104075,57.0,0.0029000000000000002,-0.3753820630442813,0.005401248543027007
0.358,15,20000,10,-1.5281200172083482,0.0050816739941619915,0.016671917012497782,74.5772,0.4672872295234953,55.0,0.0030999999999999995,-0.3872802216440811,0.005428263039219413
0.3665,16,20000,10,-1.5203110978040586,0.005048528213512846,0.020628495949147722,70.68965,0.45363479349601094,51.0,0.0027999999999999995,-0.38064603680305636,0.005429623853162851
0.375,17,20000,10,-1.5081705438832151,0.0050226625085411135,0.011936118043022732,68.0487,0.43099957012388346,50.0,0.0024999999999999996,-0.37916875893407725,0.005442703813745489
0.3835,18,20000,10,-1.5145046680608218,0.004973509291032886,0.013873167896802882,65.05895,0.4080659868665323,47.0,0.0013000000000000002,-0.38060776912078526,0.005409215386720608
0.392,19,20000,10,-1.5046727250506977,0.00496185939768032,0.013352501365134148,62.39385,0.38770881150033304,46.0,0.0015,-0.38432502816607933,0.0054934261483930505
0.4005,20,20000,10,-1.49783870086037,0.004961579619988105,0.01300583632580122,60.14115,0.37459571197658753,44.0,0.0016,-0.38017859194284126,0.005424034809184057
0.40900000000000003,21,20000,10,-1.4900564656245845,0.00497761522353374,0.016137642095551616,57.22425,0.35455715848901825,42.0,0.00165,-0.3872498167991805,0.005452467838222065
0.41750000000000004,22,20000,10,-1.4816653784785085,0.0049448381946452565,0.014266931984683328,55.2877,0.3361060097617862,41.0,0.00125,-0.3715232890931385,0.00547582668971113
