e,e_index,n_paths,n_batches,F1,F1_se,F1_batch_sd,mean_tau,mean_tau_se,median_tau,alarm_up_proportion,F_rho_1,F_rho_1_se
-1.3375,0,20000,10,0.8806207201215439,0.005400436856497251,0.010990788445400535,6.67885,0.020016384954789735,6.0,1.0,0.8806207201215439,0.005400436856497251
-1.295,1,20000,10,0.8897787182058721,0.005404433245920348,0.01721707845529011,6.98865,0.021226600936192424,6.0,1.0,0.8897787182058721,0.005404433245920348
-1.2525,2,20000,10,0.9238779991773713,0.005388546194214307,0.0161836409767015,7.3243,0.023019186989302692,7.0,1.0,0.9238779991773713,0.005388546194214307
-1.21,3,20000,10,0.9416738632734447,0.005350928412436532,0.01485284672894326,7.71005,0.025035680321082887,7.0,1.0,0.9416738632734447,0.005350928412436532
-1.1675,4,20000,10,0.9578103786045884,0.005304245492412454,0.00997401450097802,8.1359,0.02709378643089884,7.0,1.0,0.9578103786045884,0.005304245492412454
-1.125,5,20000,10,0.9857769494280965,0.005265830622613319,0.01253995180719845,8.6084,0.029727792704520695,8.0,1.0,0.9857769494280965,0.005265830622613319
-1.0825,6,20000,10,1.0107670536823026,0.005221182639985282,0.00882154040797391,9.1342,0.03225781372516302,8.0,1.0,1.0107670536823026,0.005221182639985282
-1.04,7,20000,10,1.0353644970940452,0.005192167597563562,0.015136408820715912,9.71865,0.03548559665911668,9.0,1.0,1.0353644970940452,0.005192167597563562
-0.9974999999999999,8,20000,10,1.0563785982498881,0.0051432718086533965,0.011913131232944544,10.38335,0.03892647431241519,9.0,1.0,1.0563785982498881,0.0051432718086533965
-0.955,9,20000,10,1.080271045337601,0.005091678897542127,0.01411234801697786,11.1398,0.042955151673027096,10.0,1.0,1.080271045337601,0.005091678897542127
-0.9125,10,20000,10,1.1121536390355629,0.00506394246058779,0.016804692664332294,12.02525,0.047805699358126286,10.0,1.0,1.1121536390355629,0.00506394246058779
0.0,11,20000,10,-0.001880914503081177,0.014244893784519352,0.0315402813798961,463.4313,3.223913121473071,323.0,0.4969,-0.001880914503081177,0.014244893784519352
0.9125,12,20000,10,-1.1132464032729013,0.005107911457743154,0.01082399593780988,12.10025,0.048277598668550824,10.0,0.0,-1.1132464032729013,0.005107911457743154
0.955,13,20000,10,-1.0765963174099444,0.005131257470696312,0.012813737016025006,11.1953,0.04277890130917179,10.0,0.0,-1.0765963174099444,0.005131257470696312
0.9974999999999999,14,20000,10,-1.0605415206393463,0.005151174793564805,0.01235706760889597,10.44625,0.03853796576903457,9.0,0.0,-1.0605415206393463,0.005151174793564805
1.04,15,20000,10,-1.0418812357556555,0.0051574209210936495,0.00986773522484797,9.7908,0.03519415717750564,9.0,0.0,-1.0418812357556555,0.0051574209210936495
1.0825,16,20000,10,-1.00678156565577,0.005218046886284078,0.008981825749950557,9.19075,0.03194564521319618,8.0,0.0,-1.00678156565577,0.005218046886284078
1.125,17,20000,10,-0.9870680143885229,0.005230362727708083,0.017612202798616815,8.6561,0.029077378048849408,8.0,0.0,-0.9870680143885229,0.005230362727708083
1.1675,18,20000,10,-0.961097457897505,0.0052501655196977816,0.014497938327738569,8.20905,0.026938331213336657,7.0,0.0,-0.961097457897505,0.0052501655196977816
1.21,19,20000,10,-0.9366947065454003,0.005329871907453282,0.019108213198543424,7.78975,0.024990967854381207,7.0,0.0,-0.9366947065454003,0.005329871907453282
1.2525,20,20000,10,-0.9096269648680293,0.005357332363435252,0.018559830946739218,7.40875,0.023132886296275693,7.0,0.0,-0.9096269648680293,0.005357332363435252
1.295,21,20000,10,-0.8863546692485106,0.005398285865674486,0.021769101204399368,7.0612,0.021522915457588217,6.0,0.0,-0.8863546692485106,0.005398285865674486
1.3375,22,20000,10,-0.8633765827889807,0.0054526651046530724,0.014005656764301355,6.75415,0.020148466118028573,6.0,0.0,-0.8633765827889807,0.0054526651046530724
