e,e_index,n_paths,n_batches,F1,F1_se,F1_batch_sd,mean_tau,mean_tau_se,median_tau,alarm_up_proportion,F_rho_0,F_rho_0_se,F_rho_0.02,F_rho_0.02_se,F_rho_0.05,F_rho_0.05_se,F_rho_0.1,F_rho_0.1_se,F_rho_0.25,F_rho_0.25_se,F_rho_0.5,F_rho_0.5_se,F_rho_1,F_rho_1_se
-3.0,0,20000,10,0.39106873969286343,0.006416908770228833,0.02700451739396984,2.5661,0.004602455717324339,2.0,1.0,-0.008110401282316607,0.007050177391383452,-0.00012681846281300366,0.006908592437539121,0.011848555766442398,0.006700919318456396,0.0318075128152014,0.006368696719071045,0.0916843839614784,0.0055043792391128825,0.19147916920527344,0.004733695541528695,0.39106873969286343,0.006416908770228833
-2.5,1,20000,10,0.48693310759801023,0.006228090785579281,0.01928665025172877,3.1005,0.006158886595335614,3.0,1.0,-0.008110401282316607,0.007050177391383452,0.0017904688952899302,0.006911111161418645,0.016641774161699735,0.00670693830166458,0.04139394960571608,0.006379705321823889,0.11565047593776512,0.005521873477172066,0.2394113531578468,0.004718806428654478,0.48693310759801023,0.006228090785579281
-2.0,2,20000,10,0.6151961032754624,0.005951656883002913,0.018260398505871665,3.99135,0.009058027449067673,4.0,1.0,-0.008110401282316607,0.007050177391383452,0.004355728808838971,0.006911096704283991,0.02305492394557234,0.006706518000469366,0.0542202491734613,0.006377478933729239,0.14771622485712813,0.005503783030076141,0.30354285099657285,0.004630339027189869,0.6151961032754624,0.005951656883002913
-1.5,3,20000,10,0.8001853730695208,0.0055644268988098615,0.013449032666431979,5.72,0.015852525512619633,5.0,1.0,-0.008110401282316607,0.007050177391383452,0.008055514204720142,0.006910370385946765,0.03230438743527527,0.006704194913012765,0.07271917615286713,0.006371007616070933,0.19396354230564272,0.005471192417123611,0.39603748589360205,0.004496654583943544,0.8001853730695208,0.0055644268988098615
-1.25,4,20000,10,0.9215618337012714,0.005391279336532621,0.016943621370964203,7.3463,0.02311137214178582,7.0,1.0,-0.008110401282316607,0.007050177391383452,0.010483043417355153,0.006908869329450995,0.03837321046686279,0.0067002279656527275,0.0848568222160422,0.006362311068089822,0.2243076574635804,0.00544281240678983,0.4567257162094774,0.004414833788842696,0.9215618337012714,0.005391279336532621
-1.0,5,20000,10,1.05765659026592,0.005155940094027363,0.007876984163603983,10.3682,0.03880904205320268,9.0,1.0,-0.008110401282316607,0.007050177391383452,0.013204938548648125,0.006909817549216604,0.045177948295095215,0.006702313826781431,0.09846629787250703,0.0063654463324995915,0.25833134660474255,0.005440948274812779,0.5247730944918017,0.004364631705287037,1.05765659026592,0.005155940094027363
-0.75,6,20000,10,1.2200988527622965,0.004981469227850557,0.013512370733624629,16.96535,0.07824323337550317,14.0,1.0,-0.008110401282316607,0.007050177391383452,0.016453783798575653,0.006911083059527917,0.05330006141991405,0.006705273382789426,0.11471052412214472,0.0063706186725848045,0.2989419122288367,0.0054467846612054165,0.60599422573999,0.004340501835088497,1.2200988527622965,0.004981469227850557
-0.6,7,20000,10,1.3409343253247197,0.004912691845157743,0.018209291840181045,26.10245,0.13767948460790772,20.0,0.9999500000000001,-0.008110401282316607,0.007050177391383452,0.018870493249824115,0.006910731618303671,0.0593418350480352,0.006704317819714489,0.12679407137838702,0.006368431683912995,0.3291507803694424,0.00543884796720744,0.6664119620212016,0.00431408690800128,1.3409343253247197,0.004912691845157743
-0.5,8,20000,10,1.4152330607141101,0.004917374265573934,0.013770294811584854,37.8207,0.2179906501932562,29.0,0.9997,-0.008110401282316607,0.007050177391383452,0.02035646795761193,0.006909675635185854,0.06305677181750473,0.0067016848243085245,0.13422394491732606,0.006363197628093954,0.34772546421679007,0.005426246932838901,0.7035613297158968,0.0042937709170175475,1.4152330607141101,0.004917374265573934
-0.4,9,20000,10,1.492444962765332,0.004944498964433182,0.019145931333459428,60.09855,0.3752297786213312,44.0,0.9986499999999999,-0.008110401282316607,0.007050177391383452,0.021900705998636368,0.006910825389226088,0.06691736692006583,0.006704587853173865,0.14194513512244825,0.006369099844436917,0.36702843972959553,0.0054416781942716996,0.7421672807415077,0.0043248884151203745,1.492444962765332,0.004944498964433182
-0.35,10,20000,10,1.524845897031337,0.005027769681679633,0.015007349478777616,77.9287,0.5039943614082568,56.0,0.9970500000000001,-0.008110401282316607,0.007050177391383452,0.022548724683956464,0.006908730183451379,0.06853741363336607,0.006699447603807026,0.14518522854904878,0.0063591867259076675,0.3751286732960968,0.0054206634932555476,0.7583677478745102,0.004305659180640467,1.524845897031337,0.005027769681679633
-0.3,11,20000,10,1.559493339754252,0.005328242936746788,0.01688474787173608,102.85805,0.6747411198295347,73.0,0.9924,-0.008110401282316607,0.007050177391383452,0.02324167353841477,0.006910683850363555,0.07026978576951183,0.006704684267386245,0.14864997282134026,0.006370920682109399,0.38379053397682555,0.005461176063549821,0.7756914692359677,0.004432281598676257,1.559493339754252,0.005328242936746788
-0.25,12,20000,10,1.575744890031001,0.005848146248687382,0.015588200505053442,140.219,0.9421809100132307,99.0,0.98445,-0.008110401282316607,0.007050177391383452,0.023566704543949747,0.0069104740773138435,0.07108236328334927,0.006704823531184816,0.15027512784901514,0.0063735979639525766,0.38785342154601277,0.005489775842045486,0.7838172443743422,0.004585973563729643,1.575744890031001,0.005848146248687382
-0.2,13,20000,10,1.567324717762755,0.006753880176980635,0.014922024987384326,192.97095,1.3069667319433937,137.0,0.9686999999999999,-0.008110401282316607,0.007050177391383452,0.023398301098584824,0.006910070839516545,0.07066135466993696,0.0067051191791542095,0.14943311062219053,0.0063788977921439395,0.3857483784789512,0.00554563159848454,0.7796071582402191,0.004873946592238681,1.567324717762755,0.006753880176980635
-0.15,14,20000,10,1.45216424325911,0.008406905187699655,0.03054475483389089,264.48125,1.8256973834588999,186.0,0.9276,-0.008110401282316607,0.007050177391383452,0.021095091608511925,0.006912133236344381,0.06490333094475473,0.00671312651805635,0.13791706317182606,0.006405139874459643,0.35695825985303997,0.005700628114717225,0.7220269209883967,0.005500580852714315,1.45216424325911,0.008406905187699655
-0.1,15,20000,10,1.1866308071518135,0.010868713175872105,0.0477763900104572,348.66785,2.4026908358091967,244.0,0.8417999999999999,-0.008110401282316607,0.007050177391383452,0.015784422886365997,0.006912874452540999,0.051626659139389915,0.006720381957794027,0.11136371956109642,0.006438962743153021,0.29057490082621595,0.005948059742245441,0.5892602029347483,0.0064813738246354835,1.1866308071518135,0.010868713175872105
