e,e_index,n_paths,n_batches,F1,F1_se,F1_batch_sd,mean_tau,mean_tau_se,median_tau,alarm_up_proportion,F_rho_0.25,F_rho_0.25_se
-0.41750000000000004,0,20000,10,1.4779119570435544,0.004921146775389991,0.026981660897563577,55.0341,0.335555884685528,41.0,0.9990000000000002,0.36339518829915113,0.005434745783101823
-0.40900000000000003,1,20000,10,1.4891329119334142,0.0049720810213709585,0.013807434830791636,57.27475,0.357210306517084,42.0,0.9987,0.3662004270216161,0.0054271232098610424
-0.4005,2,20000,10,1.4943002433409338,0.004952252005727888,0.018421965860557034,59.7266,0.37351991711075316,44.0,0.99875,0.367492259873496,0.0054143559393557365
-0.392,3,20000,10,1.5066767666253822,0.004970453395155117,0.015844788703317344,61.6979,0.3877355203243392,45.0,0.9986500000000001,0.3705863906946081,0.005421848203678392
-0.3835,4,20000,10,1.5007976965000023,0.005039961685898919,0.008610143606338275,65.08525,0.412886162121012,47.0,0.9973000000000001,0.3691166231632631,0.005439354053579794
-0.375,5,20000,10,1.5138480205668314,0.00503309190856164,0.01365556676815293,68.2759,0.42919938206500047,49.0,0.9975499999999998,0.3723792041799704,0.005450211654265255
-0.3665,6,20000,10,1.520498414079893,0.005045778017418845,0.0167583253892481,71.6149,0.460426443120914,52.0,0.9974000000000001,0.37404180255823577,0.005443902932363652
-0.358,7,20000,10,1.5273679592677822,0.005031324064283442,0.015387318616913129,75.1806,0.4820257478839498,54.0,0.99745,0.37575918885520815,0.005440691363329283
-0.3495,8,20000,10,1.5319477231497902,0.005040128294814111,0.022610226775841912,78.13775,0.5015383143698137,56.0,0.99665,0.3769041298257101,0.005426357335546592
-0.34099999999999997,9,20000,10,1.533453208152026,0.00515967233702092,0.012425119409796546,81.7859,0.526962221149321,59.0,0.99605,0.377280501076269,0.0054371580446787755
-0.33249999999999996,10,20000,10,1.5383276467713591,0.005105432984414552,0.024368255853648397,86.0785,0.56118756976783,62.0,0.9962000000000002,0.3784991107311023,0.005449049937603582
0.0,11,20000,10,-0.001880914503081177,0.014244893784519352,0.0315402813798961,463.4313,3.223913121473071,323.0,0.4969,-0.00655302958750775,0.006376213104798872
0.33249999999999996,12,20000,10,-1.5423280657989982,0.005149265569388974,0.016535499956844373,84.63615,0.544427312149001,61.0,0.00405,-0.391664817411487,0.00545680478349394
0.34099999999999997,13,20000,10,-1.5403699184289177,0.0050909156303672485,0.012547439614282003,81.2071,0.513820728529468,59.0,0.0036500000000000005,-0.3911752805689669,0.005430942268542811
0.3495,14,20000,10,-1.5316455765315953,0.005075659719168003,0.02005211035689369,77.38255,0.4923469158521788,56.0,0.0035000000000000005,-0.3889941950946363,0.0054348140325949906
0.358,15,20000,10,-1.5253230246728264,0.005009317576686379,0.010493892537674906,74.80625,0.47421342185280696,54.0,0.00255,-0.387413557129944,0.0054305066260990345
0.3665,16,20000,10,-1.5091677043754215,0.004980124750904618,0.013712233071749173,71.272,0.44801004614860196,52.0,0.0021000000000000003,-0.38337472705559283,0.005413494368413151
0.375,17,20000,10,-1.516504042662137,0.004976842216872906,0.012708834025745321,67.98925,0.42727539121141966,50.0,0.00165,-0.3852088116272717,0.005433466478300854
0.3835,18,20000,10,-1.5111695345029887,0.004946443787195003,0.012118180382807485,64.94805,0.40436292242059785,48.0,0.0014500000000000001,-0.38387518458748465,0.00543367754032232
0.392,19,20000,10,-1.4960299870836624,0.004967944269859943,0.011561847280004946,62.42985,0.3873123022702087,46.0,0.0016,-0.3800902977326531,0.005447020188970082
0.4005,20,20000,10,-1.4880852111460197,0.0049557249666498425,0.012291908432097362,59.8122,0.3737389270564144,44.0,0.00125,-0.3781041037482424,0.005420593842873387
0.40900000000000003,21,20000,10,-1.4820777565833319,0.0049574953745259685,0.01528469243217885,57.18675,0.35216429362779,42.0,0.00155,-0.3766022401075704,0.005435193306307758
0.41750000000000004,22,20000,10,-1.4772195689141265,0.004983548394025443,0.016742195720972023,54.8549,0.3351927430721769,40.0,0.0017500000000000003,-0.37538769319026905,0.005428207230302926
