m,rho,var_ztau,var_fresh_block,sd_e,cycle_len
1,0.5,4.659252864288977,0.25,0.9064369944699104,81.97839831860954
1,1.0,5.638188039660611,0.0,1.3717336463152017,49.639603475446144
4,0.5,4.494212223777072,0.0625,0.8034623878090106,76.49730183572989
4,1.0,5.638188039660611,0.0,1.3717336463152017,49.639603475446144
16,0.5,4.44819990244848,0.015625,0.7715544605637343,69.88388565646345
16,1.0,5.638188039660611,0.0,1.3717336463152017,49.639603475446144
64,0.5,4.430466810104191,0.00390625,0.7626860697476835,67.4040676641681
64,1.0,5.638188039660611,0.0,1.3717336463152017,49.639603475446144
256,0.5,4.4375259711310235,0.0009765625,0.761351041886186,65.8554085448776
256,1.0,5.638188039660611,0.0,1.3717336463152017,49.639603475446144
