e,F1,Ez_tau,A,g
0.0,-2.9974682374789478e-15,-2.9974682374789478e-15,465.0725064603802,
0.02,-0.2946420866962477,-0.3146420866962477,459.0727063063711,14.732104334812384
0.04,-0.571947343269991,-0.611947343269991,441.8983592987146,14.298683581749774
0.06,-0.8182278165105425,-0.8782278165105425,415.7597434257487,13.637130275175709
0.08,-1.0255734673728676,-1.1055734673728677,383.60512957656505,12.819668342160844
0.1,-1.1919392065704277,-1.2919392065704278,348.4124501070379,11.919392065704276
0.12,-1.3197535905264388,-1.439753590526439,312.68433417421403,10.997946587720325
0.14,-1.414029323910892,-1.5540293239108922,278.23082449247,10.100209456506372
0.16,-1.480720928240967,-1.640720928240967,246.17942904930854,9.254505801506044
0.18,-1.5256310095009087,-1.7056310095009086,217.1044458686387,8.475727830560604
0.2,-1.5538431580729086,-1.7538431580729086,191.18748745615247,7.769215790364543
0.22,-1.5695278654767513,-1.7895278654767512,168.36057522510689,7.134217570348869
0.24,-1.5759623665392994,-1.8159623665392994,148.41463968271083,6.566509860580415
0.26,-1.575648365961799,-1.835648365961799,131.0736206856158,6.060186022929996
0.28,-1.5704582476141657,-1.8504582476141658,116.04109687842315,5.608779455764878
0.3,-1.5617747077142883,-1.8617747077142883,103.02738992419448,5.2059156923809615
0.35,-1.5307626488094184,-1.8807626488094182,77.629720551218,4.37360756802691
0.39999999999999997,-1.4931345663595843,-1.8931345663595842,59.8078132065015,3.732836415898961
0.44999999999999996,-1.4531933351343127,-1.9031933351343127,47.14071081928812,3.2293185225206953
0.5,-1.4128490524985413,-1.9128490524985413,37.991042629330266,2.8256981049970826
0.55,-1.3729510684006525,-1.9229510684006526,31.264062935706686,2.496274669819368
0.6,-1.3338761053449475,-1.9338761053449476,26.226931916482012,2.2231268422415793
0.65,-1.2957876769702126,-1.9457876769702125,22.385511319430925,1.9935195030310962
0.7,-1.2587515041347601,-1.95875150413476,19.403158143173105,1.7982164344782288
0.75,-1.222787579223146,-1.972787579223146,17.04775426402589,1.6303834389641947
0.8,-1.1878940560091236,-1.9878940560091236,15.157158463430012,1.4848675700114045
0.85,-1.1540584250263821,-2.004058425026382,13.616563694258161,1.3577157941486848
0.9,-1.1212628538591947,-2.0212628538591946,12.343545033884968,1.2458476153991052
0.9500000000000001,-1.0894868008102923,-2.0394868008102924,11.278096460531167,1.146828211379255
1.0,-1.0587083305685039,-2.058708330568504,10.375925228957017,1.0587083305685039
1.2,-0.9451136521000969,-2.145113652100097,7.844972964846048,0.7875947100834141
1.4,-0.8456480980855976,-2.2456480980855975,6.306966094088499,0.6040343557754269
1.6,-0.7588829123556526,-2.3588829123556527,5.281535342738234,0.4743018202222829
1.8,-0.6834698803614117,-2.4834698803614117,4.552332921744524,0.3797054890896731
2.0,-0.6181323827746223,-2.6181323827746223,4.008903672137527,0.3090661913873112
2.2,-0.561578540244474,-2.761578540244474,3.589228055441072,0.2552629728383972
2.4000000000000004,-0.5123183227798105,-2.912318322779811,3.255852287792988,0.213465967824921
2.6,-0.4684565942675989,-3.068456594267599,2.984922240837567,0.18017561317984573
2.8,-0.42768754833546874,-3.2276875483354686,2.760799971216381,0.15274555297695314
3.0,-0.38777893049059164,-3.3877789304905916,2.5732692573832323,0.1292596434968639
3.5,-0.2897089599537419,-3.789708959953742,2.2274816608775176,0.08277398855821197
4.0,-0.23474733136032633,-4.234747331360326,2.0125788873164066,0.05868683284008158
5.0,-0.357234375375616,-5.357234375375616,1.6938024238394276,0.07144687507512319
